player_id,lock_until
40,2026-01-06
41,2026-01-06
290,2026-01-06
294,2026-01-06
477,2026-01-06
478,2026-01-06
479,2026-01-06
522,2026-01-06
669,2026-01-06
629,2026-01-06
11,2026-01-07
376,2026-01-07
392,2026-01-07
409,2026-01-07
418,2026-01-07
424,2026-01-07
