id,name,price,net_transfers_delta,direction,momentum,strength,rise_flag,fall_flag
84,Tavernier,5.6,49138,up,16944.137931034482,strong_up,True,False
713,A.Jimenez,4.5,1682,up,16820.0,strong_up,True,False
329,Wilson,5.7,231613,up,13388.034682080925,strong_up,True,False
97,Evanilson,7.0,25996,up,12998.0,strong_up,True,False
417,Cherki,6.5,92602,up,12861.388888888889,strong_up,True,False
691,Calvert-Lewin,5.7,62998,up,12352.549019607844,strong_up,True,False
749,Mané,4.5,1035,up,10350.0,strong_up,True,False
273,Wharton,5.0,7040,up,10057.142857142857,strong_up,True,False
712,Yeremy,5.8,2797,up,9323.333333333334,strong_up,True,False
197,Sonne,3.8,2642,up,8806.666666666668,strong_up,True,False
120,Schade,7.0,6331,up,7913.75,strong_up,True,False
407,Matheus N.,5.4,13502,up,7106.315789473684,strong_up,True,False
661,Ekitiké,8.7,157938,up,7050.803571428572,strong_up,True,False
284,Nketiah,5.4,4052,up,6753.333333333334,strong_up,True,False
116,Hickey,4.0,3169,up,6338.0,strong_up,True,False
708,M.Fernandes,5.5,627,up,6270.0,strong_up,True,False
516,Hudson-Odoi,5.7,5619,up,6243.333333333333,strong_up,True,False
316,Robinson,4.9,2896,up,5792.0,strong_up,True,False
547,E.Le Fée,4.9,3995,up,5707.142857142858,strong_up,True,False
263,Clyne,3.8,3960,up,5657.142857142858,strong_up,True,False
148,F.Kadıoğlu,4.4,1104,up,5520.0,strong_up,True,False
230,Fofana,4.4,2759,up,5518.0,strong_up,True,False
158,Georginio,5.6,2171,up,5427.5,strong_up,True,False
411,O'Reilly,5.3,56658,up,5246.11111111111,strong_up,True,False
31,G.Jesus,6.4,1046,up,5230.0,strong_up,True,False
388,C.Jones,5.4,509,up,5090.0,strong_up,True,False
680,Broja,5.2,507,up,5070.0,strong_up,True,False
228,Gusto,5.0,13611,up,5041.11111111111,strong_up,True,False
58,Kamara,4.9,2902,up,4836.666666666667,strong_up,True,False
325,Smith Rowe,5.6,3729,up,4661.25,strong_up,True,False
151,Van Hecke,4.6,20436,up,4541.333333333333,strong_up,True,False
375,Bradley,5.0,899,up,4495.0,strong_up,True,False
81,Kluivert,7.0,3944,up,4382.222222222222,strong_up,True,False
47,Rogers,7.1,61755,up,4379.787234042553,strong_up,True,False
135,Wissa,7.3,2593,up,4321.666666666667,strong_up,True,False
100,Kroupi.Jr,4.6,17737,up,4223.095238095238,strong_up,True,False
676,Ugochukwu,5.0,405,up,4050.0,strong_up,True,False
730,Brobbey,5.5,1213,up,4043.3333333333335,strong_up,True,False
414,Foden,8.9,143511,up,3660.9948979591836,strong_up,True,False
455,Mount,5.9,2887,up,3608.75,strong_up,True,False
173,Wieffer,4.9,1441,up,3602.5,strong_up,True,False
686,Ngumoha,4.3,2131,up,3551.666666666667,strong_up,True,False
358,Tanaka,4.8,1062,up,3540.0,strong_up,True,False
450,Cunha,7.9,15390,up,3497.7272727272725,strong_up,True,False
497,L.Miley,4.4,8694,up,3477.6,strong_up,True,False
110,Kayode,4.5,2302,up,3288.571428571429,strong_up,True,False
20,Trossard,6.9,2575,up,3218.75,strong_up,True,False
74,Truffert,4.5,7698,up,3207.5,strong_up,True,False
107,Lewis-Potter,4.8,1266,up,3165.0,strong_up,True,False
113,Van den Berg,4.5,4083,up,3140.7692307692305,strong_up,True,False
660,Stach,4.8,5580,up,3100.0,strong_up,True,False
703,Proctor,3.9,1548,up,3096.0,strong_up,False,False
440,Dalot,4.4,5243,up,3084.1176470588234,strong_up,True,False
126,Jensen,4.9,295,up,2950.0,strong_up,True,False
638,Hoever,3.8,3432,up,2860.0,strong_up,True,False
526,Igor Jesus,5.8,3428,up,2856.666666666667,strong_up,True,False
685,Diakité,4.4,1117,up,2792.5,strong_up,True,False
408,Rúben,5.7,19017,up,2756.086956521739,strong_up,True,False
73,Smith,4.4,547,up,2735.0,strong_up,True,False
683,Alderete,4.0,12770,up,2717.0212765957444,strong_up,True,False
344,Bijol,3.9,1085,up,2712.5,strong_up,True,False
72,Senesi,4.9,44455,up,2615.0,strong_up,True,False
513,Abbott,3.8,763,up,2543.3333333333335,strong_up,True,False
693,Hutchinson,5.4,246,up,2460.0,strong_up,True,False
82,Semenyo,7.6,107467,up,2398.816964285714,strong_up,True,False
109,Henry,4.3,230,up,2300.0,strong_up,True,False
449,B.Fernandes,9.3,69090,up,2295.348837209302,strong_up,True,False
694,Mukiele,4.2,14065,up,2268.548387096774,strong_up,True,False
295,Keane,4.6,7255,up,2267.1875,strong_up,True,False
458,Mainoo,4.6,889,up,2222.5,strong_up,True,False
670,Roefs,4.8,18606,up,2090.561797752809,strong_up,True,False
90,Scott,5.0,626,up,2086.666666666667,strong_up,True,False
741,Gray,4.5,208,up,2080.0,strong_up,False,False
720,Tolu,5.4,205,up,2050.0,strong_up,True,False
270,Hughes,4.7,202,up,2020.0,strong_up,True,False
467,Obi,4.2,3359,up,1975.8823529411766,strong_up,False,False
139,Verbruggen,4.4,10341,up,1951.1320754716983,strong_up,True,False
447,Heaven,3.8,3111,up,1944.375,strong_up,True,False
531,Ballard,4.6,6571,up,1932.6470588235295,strong_up,True,False
103,Cox,3.9,385,up,1925.0,strong_up,False,False
403,Gvardiol,6.0,16038,up,1843.448275862069,strong_up,True,False
261,Richards,4.6,7782,up,1768.6363636363635,strong_up,True,False
106,Collins,4.9,2822,up,1763.75,strong_up,True,False
623,Potts,4.4,1204,up,1720.0,strong_up,True,False
301,Alcaraz,5.2,161,up,1610.0,strong_up,True,False
