player_id,timestamp,net_now,net_prev,velocity
88,2025-12-22_13-48-26,10,0,-10
89,2025-12-22_13-48-26,-1,0,1
90,2025-12-22_13-48-26,-39,0,39
91,2025-12-22_13-48-26,0,0,0
92,2025-12-22_13-48-26,-5,0,5
93,2025-12-22_13-48-26,-40,0,40
94,2025-12-22_13-48-26,-3,0,3
95,2025-12-22_13-48-26,-10,0,10
96,2025-12-22_13-48-26,-5,0,5
97,2025-12-22_13-48-26,-1331,0,1331
98,2025-12-22_13-48-26,-10,0,10
99,2025-12-22_13-48-26,-9,0,9
100,2025-12-22_13-48-26,-1416,0,1416
391,2025-12-22_13-48-26,-3,0,3
685,2025-12-22_13-48-26,-58,0,58
687,2025-12-22_13-48-26,-1,0,1
697,2025-12-22_13-48-26,-9,0,9
713,2025-12-22_13-48-26,-17,0,17
721,2025-12-22_13-48-26,-6,0,6
756,2025-12-22_13-48-26,6,0,-6
27,2025-12-22_13-48-26,-13,0,13
83,2025-12-22_13-48-26,-1123,0,1123
101,2025-12-22_13-48-26,1377,0,-1377
102,2025-12-22_13-48-26,-18,0,18
103,2025-12-22_13-48-26,115,0,-115
104,2025-12-22_13-48-26,-7,0,7
105,2025-12-22_13-48-26,-41,0,41
106,2025-12-22_13-48-26,-7,0,7
107,2025-12-22_13-48-26,5445,0,-5445
108,2025-12-22_13-48-26,-15,0,15
109,2025-12-22_13-48-26,39,0,-39
110,2025-12-22_13-48-26,33,0,-33
111,2025-12-22_13-48-26,-14,0,14
112,2025-12-22_13-48-26,-1,0,1
113,2025-12-22_13-48-26,150,0,-150
114,2025-12-22_13-48-26,-2,0,2
115,2025-12-22_13-48-26,-13,0,13
116,2025-12-22_13-48-26,-31,0,31
117,2025-12-22_13-48-26,-3,0,3
118,2025-12-22_13-48-26,-2,0,2
120,2025-12-22_13-48-26,-72,0,72
121,2025-12-22_13-48-26,-117,0,117
122,2025-12-22_13-48-26,0,0,0
123,2025-12-22_13-48-26,-32,0,32
124,2025-12-22_13-48-26,130,0,-130
125,2025-12-22_13-48-26,65,0,-65
126,2025-12-22_13-48-26,-1,0,1
127,2025-12-22_13-48-26,-2,0,2
128,2025-12-22_13-48-26,-14,0,14
129,2025-12-22_13-48-26,23,0,-23
130,2025-12-22_13-48-26,-21,0,21
131,2025-12-22_13-48-26,27,0,-27
132,2025-12-22_13-48-26,3,0,-3
133,2025-12-22_13-48-26,3,0,-3
134,2025-12-22_13-48-26,0,0,0
136,2025-12-22_13-48-26,-39371,0,39371
137,2025-12-22_13-48-26,-16,0,16
748,2025-12-22_13-48-26,0,0,0
138,2025-12-22_13-48-26,-14,0,14
139,2025-12-22_13-48-26,821,0,-821
140,2025-12-22_13-48-26,16,0,-16
141,2025-12-22_13-48-26,0,0,0
142,2025-12-22_13-48-26,-1,0,1
143,2025-12-22_13-48-26,7,0,-7
144,2025-12-22_13-48-26,5,0,-5
145,2025-12-22_13-48-26,938,0,-938
146,2025-12-22_13-48-26,-42,0,42
147,2025-12-22_13-48-26,0,0,0
148,2025-12-22_13-48-26,3,0,-3
150,2025-12-22_13-48-26,-9,0,9
151,2025-12-22_13-48-26,-1534,0,1534
152,2025-12-22_13-48-26,-3,0,3
153,2025-12-22_13-48-26,0,0,0
154,2025-12-22_13-48-26,-1,0,1
155,2025-12-22_13-48-26,-6,0,6
156,2025-12-22_13-48-26,-8,0,8
157,2025-12-22_13-48-26,-48,0,48
158,2025-12-22_13-48-26,-26,0,26
159,2025-12-22_13-48-26,1,0,-1
160,2025-12-22_13-48-26,-3324,0,3324
161,2025-12-22_13-48-26,0,0,0
162,2025-12-22_13-48-26,-3,0,3
163,2025-12-22_13-48-26,27,0,-27
164,2025-12-22_13-48-26,-17,0,17
165,2025-12-22_13-48-26,0,0,0
166,2025-12-22_13-48-26,8,0,-8
167,2025-12-22_13-48-26,-613,0,613
169,2025-12-22_13-48-26,-24,0,24
170,2025-12-22_13-48-26,8,0,-8
171,2025-12-22_13-48-26,0,0,0
172,2025-12-22_13-48-26,-1,0,1
173,2025-12-22_13-48-26,-113,0,113
174,2025-12-22_13-48-26,0,0,0
175,2025-12-22_13-48-26,10,0,-10
176,2025-12-22_13-48-26,0,0,0
177,2025-12-22_13-48-26,0,0,0
178,2025-12-22_13-48-26,-11279,0,11279
179,2025-12-22_13-48-26,-2,0,2
180,2025-12-22_13-48-26,-6,0,6
181,2025-12-22_13-48-26,-11,0,11
744,2025-12-22_13-48-26,5,0,-5
761,2025-12-22_13-48-26,7,0,-7
168,2025-12-22_13-48-26,-1,0,1
