player_id,net_transfers_delta,timestamp
117,0,2025-12-24_07-02-06
118,0,2025-12-24_07-02-06
120,56,2025-12-24_07-02-06
121,-14,2025-12-24_07-02-06
122,-1,2025-12-24_07-02-06
123,0,2025-12-24_07-02-06
124,40,2025-12-24_07-02-06
125,11,2025-12-24_07-02-06
126,-6,2025-12-24_07-02-06
127,-1,2025-12-24_07-02-06
128,-1,2025-12-24_07-02-06
129,2,2025-12-24_07-02-06
130,1,2025-12-24_07-02-06
131,19,2025-12-24_07-02-06
132,1,2025-12-24_07-02-06
133,2,2025-12-24_07-02-06
134,0,2025-12-24_07-02-06
136,-3337,2025-12-24_07-02-06
137,-9,2025-12-24_07-02-06
748,2,2025-12-24_07-02-06
138,-2,2025-12-24_07-02-06
139,-24,2025-12-24_07-02-06
140,16,2025-12-24_07-02-06
141,0,2025-12-24_07-02-06
142,0,2025-12-24_07-02-06
143,9,2025-12-24_07-02-06
144,0,2025-12-24_07-02-06
145,116,2025-12-24_07-02-06
146,-2,2025-12-24_07-02-06
147,0,2025-12-24_07-02-06
148,-47,2025-12-24_07-02-06
150,-2,2025-12-24_07-02-06
151,-683,2025-12-24_07-02-06
152,5,2025-12-24_07-02-06
153,0,2025-12-24_07-02-06
154,0,2025-12-24_07-02-06
155,-2,2025-12-24_07-02-06
156,2,2025-12-24_07-02-06
157,-20,2025-12-24_07-02-06
158,-17,2025-12-24_07-02-06
159,0,2025-12-24_07-02-06
160,-437,2025-12-24_07-02-06
161,0,2025-12-24_07-02-06
162,-4,2025-12-24_07-02-06
163,-2,2025-12-24_07-02-06
164,0,2025-12-24_07-02-06
165,0,2025-12-24_07-02-06
166,13,2025-12-24_07-02-06
167,-52,2025-12-24_07-02-06
169,-2,2025-12-24_07-02-06
170,-1,2025-12-24_07-02-06
171,0,2025-12-24_07-02-06
172,0,2025-12-24_07-02-06
173,-61,2025-12-24_07-02-06
174,0,2025-12-24_07-02-06
175,15,2025-12-24_07-02-06
176,0,2025-12-24_07-02-06
177,0,2025-12-24_07-02-06
178,-1406,2025-12-24_07-02-06
179,0,2025-12-24_07-02-06
180,-4,2025-12-24_07-02-06
181,18,2025-12-24_07-02-06
744,1,2025-12-24_07-02-06
761,1,2025-12-24_07-02-06
168,-5,2025-12-24_07-02-06
220,-173,2025-12-24_07-02-06
221,-1,2025-12-24_07-02-06
222,0,2025-12-24_07-02-06
223,1,2025-12-24_07-02-06
224,-573,2025-12-24_07-02-06
225,335,2025-12-24_07-02-06
226,334,2025-12-24_07-02-06
227,-3,2025-12-24_07-02-06
228,-64,2025-12-24_07-02-06
229,0,2025-12-24_07-02-06
230,18,2025-12-24_07-02-06
231,0,2025-12-24_07-02-06
232,-8,2025-12-24_07-02-06
233,-5,2025-12-24_07-02-06
234,0,2025-12-24_07-02-06
235,118,2025-12-24_07-02-06
236,-328,2025-12-24_07-02-06
237,-446,2025-12-24_07-02-06
238,-166,2025-12-24_07-02-06
239,-2,2025-12-24_07-02-06
240,0,2025-12-24_07-02-06
241,36,2025-12-24_07-02-06
243,-3,2025-12-24_07-02-06
244,0,2025-12-24_07-02-06
245,0,2025-12-24_07-02-06
246,-7,2025-12-24_07-02-06
247,-2,2025-12-24_07-02-06
248,0,2025-12-24_07-02-06
249,-848,2025-12-24_07-02-06
250,-13,2025-12-24_07-02-06
251,0,2025-12-24_07-02-06
252,-388,2025-12-24_07-02-06
453,-11,2025-12-24_07-02-06
672,-2,2025-12-24_07-02-06
743,-2,2025-12-24_07-02-06
253,-206,2025-12-24_07-02-06
254,-1,2025-12-24_07-02-06
255,0,2025-12-24_07-02-06
256,-1025,2025-12-24_07-02-06
257,-249,2025-12-24_07-02-06
258,-77,2025-12-24_07-02-06
259,1,2025-12-24_07-02-06
260,101,2025-12-24_07-02-06
261,-1009,2025-12-24_07-02-06
