player_id,net_transfers_delta,price_change,timestamp
89,-3,0.0,2025-12-28_04-17-01
90,-5,0.0,2025-12-28_04-17-01
91,0,0.0,2025-12-28_04-17-01
92,-5,0.0,2025-12-28_04-17-01
93,-33,0.0,2025-12-28_04-17-01
94,0,0.0,2025-12-28_04-17-01
95,-6,0.0,2025-12-28_04-17-01
96,-1,0.0,2025-12-28_04-17-01
97,-1729,0.0,2025-12-28_04-17-01
98,-21,0.0,2025-12-28_04-17-01
99,-10,0.0,2025-12-28_04-17-01
100,-1314,0.0,2025-12-28_04-17-01
391,-4,0.0,2025-12-28_04-17-01
685,-253,0.0,2025-12-28_04-17-01
687,-14,0.0,2025-12-28_04-17-01
697,-15,0.0,2025-12-28_04-17-01
713,-52,0.0,2025-12-28_04-17-01
721,-5,0.0,2025-12-28_04-17-01
756,-5,0.0,2025-12-28_04-17-01
27,7,0.0,2025-12-28_04-17-01
83,-981,0.0,2025-12-28_04-17-01
101,1313,0.0,2025-12-28_04-17-01
102,-6,0.0,2025-12-28_04-17-01
103,-18,0.0,2025-12-28_04-17-01
104,-31,0.0,2025-12-28_04-17-01
105,-78,0.0,2025-12-28_04-17-01
106,-102,0.0,2025-12-28_04-17-01
107,2127,0.0,2025-12-28_04-17-01
108,17,0.0,2025-12-28_04-17-01
109,5,0.0,2025-12-28_04-17-01
110,-112,0.0,2025-12-28_04-17-01
111,-10,0.0,2025-12-28_04-17-01
112,-2,0.0,2025-12-28_04-17-01
113,-1373,0.0,2025-12-28_04-17-01
114,-28,0.0,2025-12-28_04-17-01
115,-7,0.0,2025-12-28_04-17-01
116,-159,0.0,2025-12-28_04-17-01
117,-8,0.0,2025-12-28_04-17-01
118,-2,0.0,2025-12-28_04-17-01
120,11748,0.0,2025-12-28_04-17-01
121,-163,0.0,2025-12-28_04-17-01
122,-2,0.0,2025-12-28_04-17-01
123,-29,0.0,2025-12-28_04-17-01
124,-215,0.0,2025-12-28_04-17-01
125,31,0.0,2025-12-28_04-17-01
126,-26,0.0,2025-12-28_04-17-01
127,-1,0.0,2025-12-28_04-17-01
128,-5,0.0,2025-12-28_04-17-01
129,11,0.0,2025-12-28_04-17-01
130,-4,0.0,2025-12-28_04-17-01
131,-34,0.0,2025-12-28_04-17-01
132,12,0.0,2025-12-28_04-17-01
133,1,0.0,2025-12-28_04-17-01
134,0,0.0,2025-12-28_04-17-01
136,-11238,0.0,2025-12-28_04-17-01
137,-40,0.0,2025-12-28_04-17-01
748,0,0.0,2025-12-28_04-17-01
138,-8,0.0,2025-12-28_04-17-01
139,1979,0.0,2025-12-28_04-17-01
140,-22,0.0,2025-12-28_04-17-01
141,-1,0.0,2025-12-28_04-17-01
142,0,0.0,2025-12-28_04-17-01
143,-9,0.0,2025-12-28_04-17-01
144,-7,0.0,2025-12-28_04-17-01
145,610,0.0,2025-12-28_04-17-01
146,86,0.0,2025-12-28_04-17-01
147,0,0.0,2025-12-28_04-17-01
148,126,0.0,2025-12-28_04-17-01
150,-9,0.0,2025-12-28_04-17-01
151,1805,-0.09999999999999964,2025-12-28_04-17-01
152,-8,0.0,2025-12-28_04-17-01
153,-1,0.0,2025-12-28_04-17-01
