player_id,net_transfers_delta,timestamp
1,0,2025-12-22_07-02-17
2,0,2025-12-22_07-02-17
3,0,2025-12-22_07-02-17
4,0,2025-12-22_07-02-17
5,0,2025-12-22_07-02-17
6,0,2025-12-22_07-02-17
7,0,2025-12-22_07-02-17
8,0,2025-12-22_07-02-17
9,0,2025-12-22_07-02-17
10,0,2025-12-22_07-02-17
11,0,2025-12-22_07-02-17
13,0,2025-12-22_07-02-17
14,0,2025-12-22_07-02-17
15,0,2025-12-22_07-02-17
16,0,2025-12-22_07-02-17
17,0,2025-12-22_07-02-17
18,0,2025-12-22_07-02-17
19,0,2025-12-22_07-02-17
20,0,2025-12-22_07-02-17
21,0,2025-12-22_07-02-17
22,0,2025-12-22_07-02-17
23,0,2025-12-22_07-02-17
24,0,2025-12-22_07-02-17
25,0,2025-12-22_07-02-17
26,0,2025-12-22_07-02-17
28,0,2025-12-22_07-02-17
29,0,2025-12-22_07-02-17
30,0,2025-12-22_07-02-17
31,0,2025-12-22_07-02-17
266,0,2025-12-22_07-02-17
662,0,2025-12-22_07-02-17
666,0,2025-12-22_07-02-17
700,0,2025-12-22_07-02-17
711,0,2025-12-22_07-02-17
725,0,2025-12-22_07-02-17
759,0,2025-12-22_07-02-17
32,0,2025-12-22_07-02-17
33,0,2025-12-22_07-02-17
34,0,2025-12-22_07-02-17
35,0,2025-12-22_07-02-17
36,0,2025-12-22_07-02-17
37,0,2025-12-22_07-02-17
38,0,2025-12-22_07-02-17
39,0,2025-12-22_07-02-17
40,0,2025-12-22_07-02-17
41,0,2025-12-22_07-02-17
42,0,2025-12-22_07-02-17
43,0,2025-12-22_07-02-17
44,0,2025-12-22_07-02-17
45,0,2025-12-22_07-02-17
46,0,2025-12-22_07-02-17
47,0,2025-12-22_07-02-17
48,0,2025-12-22_07-02-17
49,0,2025-12-22_07-02-17
50,0,2025-12-22_07-02-17
51,0,2025-12-22_07-02-17
53,0,2025-12-22_07-02-17
54,0,2025-12-22_07-02-17
55,0,2025-12-22_07-02-17
56,0,2025-12-22_07-02-17
57,0,2025-12-22_07-02-17
58,0,2025-12-22_07-02-17
59,0,2025-12-22_07-02-17
60,0,2025-12-22_07-02-17
61,0,2025-12-22_07-02-17
62,0,2025-12-22_07-02-17
63,0,2025-12-22_07-02-17
64,0,2025-12-22_07-02-17
65,0,2025-12-22_07-02-17
389,0,2025-12-22_07-02-17
456,0,2025-12-22_07-02-17
677,0,2025-12-22_07-02-17
688,0,2025-12-22_07-02-17
701,0,2025-12-22_07-02-17
702,0,2025-12-22_07-02-17
703,0,2025-12-22_07-02-17
710,0,2025-12-22_07-02-17
719,0,2025-12-22_07-02-17
754,0,2025-12-22_07-02-17
757,0,2025-12-22_07-02-17
768,0,2025-12-22_07-02-17
183,0,2025-12-22_07-02-17
184,0,2025-12-22_07-02-17
185,0,2025-12-22_07-02-17
186,0,2025-12-22_07-02-17
187,0,2025-12-22_07-02-17
188,0,2025-12-22_07-02-17
189,0,2025-12-22_07-02-17
190,0,2025-12-22_07-02-17
191,0,2025-12-22_07-02-17
192,0,2025-12-22_07-02-17
193,0,2025-12-22_07-02-17
194,0,2025-12-22_07-02-17
195,0,2025-12-22_07-02-17
196,0,2025-12-22_07-02-17
197,0,2025-12-22_07-02-17
198,0,2025-12-22_07-02-17
199,0,2025-12-22_07-02-17
200,0,2025-12-22_07-02-17
201,0,2025-12-22_07-02-17
202,0,2025-12-22_07-02-17
203,0,2025-12-22_07-02-17
204,0,2025-12-22_07-02-17
205,0,2025-12-22_07-02-17
206,0,2025-12-22_07-02-17
207,0,2025-12-22_07-02-17
208,0,2025-12-22_07-02-17
209,0,2025-12-22_07-02-17
210,0,2025-12-22_07-02-17
211,0,2025-12-22_07-02-17
212,0,2025-12-22_07-02-17
213,0,2025-12-22_07-02-17
214,0,2025-12-22_07-02-17
215,0,2025-12-22_07-02-17
216,0,2025-12-22_07-02-17
217,0,2025-12-22_07-02-17
218,0,2025-12-22_07-02-17
219,0,2025-12-22_07-02-17
470,0,2025-12-22_07-02-17
676,0,2025-12-22_07-02-17
680,0,2025-12-22_07-02-17
722,0,2025-12-22_07-02-17
66,0,2025-12-22_07-02-17
67,0,2025-12-22_07-02-17
68,0,2025-12-22_07-02-17
69,0,2025-12-22_07-02-17
70,0,2025-12-22_07-02-17
71,0,2025-12-22_07-02-17
72,0,2025-12-22_07-02-17
73,0,2025-12-22_07-02-17
74,0,2025-12-22_07-02-17
75,0,2025-12-22_07-02-17
76,0,2025-12-22_07-02-17
77,0,2025-12-22_07-02-17
78,0,2025-12-22_07-02-17
79,0,2025-12-22_07-02-17
80,0,2025-12-22_07-02-17
81,0,2025-12-22_07-02-17
82,0,2025-12-22_07-02-17
84,0,2025-12-22_07-02-17
85,0,2025-12-22_07-02-17
86,0,2025-12-22_07-02-17
87,0,2025-12-22_07-02-17
88,0,2025-12-22_07-02-17
89,0,2025-12-22_07-02-17
90,0,2025-12-22_07-02-17
91,0,2025-12-22_07-02-17
92,0,2025-12-22_07-02-17
93,0,2025-12-22_07-02-17
94,0,2025-12-22_07-02-17
95,0,2025-12-22_07-02-17
96,0,2025-12-22_07-02-17
97,0,2025-12-22_07-02-17
98,0,2025-12-22_07-02-17
99,0,2025-12-22_07-02-17
100,0,2025-12-22_07-02-17
391,0,2025-12-22_07-02-17
