player_id,net_transfers_delta,timestamp
1,-214,2025-12-23_13-49-37
2,-30,2025-12-23_13-49-37
3,-26,2025-12-23_13-49-37
4,52,2025-12-23_13-49-37
5,-3415,2025-12-23_13-49-37
6,2407,2025-12-23_13-49-37
7,2367,2025-12-23_13-49-37
8,4735,2025-12-23_13-49-37
9,-2,2025-12-23_13-49-37
10,-682,2025-12-23_13-49-37
11,-3434,2025-12-23_13-49-37
13,9,2025-12-23_13-49-37
14,-13,2025-12-23_13-49-37
15,1,2025-12-23_13-49-37
16,-3768,2025-12-23_13-49-37
17,66,2025-12-23_13-49-37
18,-433,2025-12-23_13-49-37
19,-191,2025-12-23_13-49-37
20,769,2025-12-23_13-49-37
21,24640,2025-12-23_13-49-37
22,-3641,2025-12-23_13-49-37
23,0,2025-12-23_13-49-37
24,-6,2025-12-23_13-49-37
25,1,2025-12-23_13-49-37
26,-237,2025-12-23_13-49-37
28,-3,2025-12-23_13-49-37
29,-5,2025-12-23_13-49-37
30,-8,2025-12-23_13-49-37
31,-104,2025-12-23_13-49-37
266,-14724,2025-12-23_13-49-37
662,-40,2025-12-23_13-49-37
666,-1176,2025-12-23_13-49-37
700,-126,2025-12-23_13-49-37
711,-1,2025-12-23_13-49-37
725,1830,2025-12-23_13-49-37
759,9,2025-12-23_13-49-37
32,62,2025-12-23_13-49-37
33,-38,2025-12-23_13-49-37
34,-13,2025-12-23_13-49-37
35,-1,2025-12-23_13-49-37
36,-2349,2025-12-23_13-49-37
37,-580,2025-12-23_13-49-37
38,-924,2025-12-23_13-49-37
39,124,2025-12-23_13-49-37
40,-88,2025-12-23_13-49-37
41,-376,2025-12-23_13-49-37
42,-15,2025-12-23_13-49-37
43,-262,2025-12-23_13-49-37
44,-63,2025-12-23_13-49-37
45,-18,2025-12-23_13-49-37
46,-10,2025-12-23_13-49-37
47,64192,2025-12-23_13-49-37
48,184,2025-12-23_13-49-37
49,-2,2025-12-23_13-49-37
50,-393,2025-12-23_13-49-37
51,-1,2025-12-23_13-49-37
53,-356,2025-12-23_13-49-37
54,488,2025-12-23_13-49-37
55,-11,2025-12-23_13-49-37
56,0,2025-12-23_13-49-37
57,0,2025-12-23_13-49-37
58,365,2025-12-23_13-49-37
59,292,2025-12-23_13-49-37
60,1,2025-12-23_13-49-37
61,-10,2025-12-23_13-49-37
62,2,2025-12-23_13-49-37
63,144,2025-12-23_13-49-37
64,-3251,2025-12-23_13-49-37
65,-23,2025-12-23_13-49-37
389,-54,2025-12-23_13-49-37
456,6,2025-12-23_13-49-37
677,-35,2025-12-23_13-49-37
688,20,2025-12-23_13-49-37
701,-7,2025-12-23_13-49-37
702,-7,2025-12-23_13-49-37
703,424,2025-12-23_13-49-37
710,-16,2025-12-23_13-49-37
719,51,2025-12-23_13-49-37
754,2,2025-12-23_13-49-37
757,6,2025-12-23_13-49-37
768,4,2025-12-23_13-49-37
183,-10,2025-12-23_13-49-37
184,-25,2025-12-23_13-49-37
185,9,2025-12-23_13-49-37
186,-3,2025-12-23_13-49-37
187,10,2025-12-23_13-49-37
188,16,2025-12-23_13-49-37
189,-1,2025-12-23_13-49-37
190,111,2025-12-23_13-49-37
191,-4311,2025-12-23_13-49-37
192,-141,2025-12-23_13-49-37
193,-10,2025-12-23_13-49-37
194,-4,2025-12-23_13-49-37
195,29,2025-12-23_13-49-37
196,-3,2025-12-23_13-49-37
197,154,2025-12-23_13-49-37
198,-442,2025-12-23_13-49-37
199,34,2025-12-23_13-49-37
200,-689,2025-12-23_13-49-37
201,-1,2025-12-23_13-49-37
202,8,2025-12-23_13-49-37
203,11,2025-12-23_13-49-37
204,-1,2025-12-23_13-49-37
205,-46,2025-12-23_13-49-37
206,43,2025-12-23_13-49-37
207,-15,2025-12-23_13-49-37
208,0,2025-12-23_13-49-37
209,6,2025-12-23_13-49-37
210,8,2025-12-23_13-49-37
211,-216,2025-12-23_13-49-37
212,0,2025-12-23_13-49-37
213,7,2025-12-23_13-49-37
214,27,2025-12-23_13-49-37
215,-425,2025-12-23_13-49-37
216,4,2025-12-23_13-49-37
217,-657,2025-12-23_13-49-37
218,-97,2025-12-23_13-49-37
219,-8,2025-12-23_13-49-37
470,-147,2025-12-23_13-49-37
676,55,2025-12-23_13-49-37
680,207,2025-12-23_13-49-37
722,-2,2025-12-23_13-49-37
66,-5,2025-12-23_13-49-37
67,-1071,2025-12-23_13-49-37
68,-61,2025-12-23_13-49-37
69,103,2025-12-23_13-49-37
70,-9,2025-12-23_13-49-37
71,-2,2025-12-23_13-49-37
72,-631,2025-12-23_13-49-37
73,-8,2025-12-23_13-49-37
74,-243,2025-12-23_13-49-37
75,-6,2025-12-23_13-49-37
76,-22,2025-12-23_13-49-37
77,-48,2025-12-23_13-49-37
78,65,2025-12-23_13-49-37
79,-8,2025-12-23_13-49-37
80,3,2025-12-23_13-49-37
81,-150,2025-12-23_13-49-37
82,18521,2025-12-23_13-49-37
84,1793,2025-12-23_13-49-37
85,-227,2025-12-23_13-49-37
86,7,2025-12-23_13-49-37
87,19,2025-12-23_13-49-37
88,20,2025-12-23_13-49-37
89,-1,2025-12-23_13-49-37
90,-7,2025-12-23_13-49-37
91,-1,2025-12-23_13-49-37
92,-3,2025-12-23_13-49-37
93,-39,2025-12-23_13-49-37
94,-2,2025-12-23_13-49-37
95,-3,2025-12-23_13-49-37
96,-4,2025-12-23_13-49-37
97,-1817,2025-12-23_13-49-37
98,-17,2025-12-23_13-49-37
99,-17,2025-12-23_13-49-37
100,-1343,2025-12-23_13-49-37
391,-5,2025-12-23_13-49-37
685,-92,2025-12-23_13-49-37
687,0,2025-12-23_13-49-37
697,-11,2025-12-23_13-49-37
713,-28,2025-12-23_13-49-37
721,-11,2025-12-23_13-49-37
756,14,2025-12-23_13-49-37
27,-6,2025-12-23_13-49-37
83,-1526,2025-12-23_13-49-37
101,1562,2025-12-23_13-49-37
102,-22,2025-12-23_13-49-37
103,49,2025-12-23_13-49-37
104,-6,2025-12-23_13-49-37
105,-34,2025-12-23_13-49-37
106,-140,2025-12-23_13-49-37
107,7150,2025-12-23_13-49-37
