player_id,net_transfers_delta,timestamp
1,-410,2025-12-24_13-43-41
2,-27,2025-12-24_13-43-41
3,-17,2025-12-24_13-43-41
4,10,2025-12-24_13-43-41
5,-2049,2025-12-24_13-43-41
6,2294,2025-12-24_13-43-41
7,2063,2025-12-24_13-43-41
8,2804,2025-12-24_13-43-41
9,-1,2025-12-24_13-43-41
10,-275,2025-12-24_13-43-41
11,-2041,2025-12-24_13-43-41
13,42,2025-12-24_13-43-41
14,-4,2025-12-24_13-43-41
15,-3,2025-12-24_13-43-41
16,-2452,2025-12-24_13-43-41
17,92,2025-12-24_13-43-41
18,-221,2025-12-24_13-43-41
19,-366,2025-12-24_13-43-41
20,573,2025-12-24_13-43-41
21,14287,2025-12-24_13-43-41
22,-1995,2025-12-24_13-43-41
23,0,2025-12-24_13-43-41
24,6,2025-12-24_13-43-41
25,-7,2025-12-24_13-43-41
26,-136,2025-12-24_13-43-41
28,-7,2025-12-24_13-43-41
29,-2,2025-12-24_13-43-41
30,-2,2025-12-24_13-43-41
31,-4,2025-12-24_13-43-41
266,-8158,2025-12-24_13-43-41
662,-23,2025-12-24_13-43-41
666,-818,2025-12-24_13-43-41
700,-23,2025-12-24_13-43-41
711,3,2025-12-24_13-43-41
725,-2954,2025-12-24_13-43-41
759,0,2025-12-24_13-43-41
32,-3,2025-12-24_13-43-41
33,-29,2025-12-24_13-43-41
34,-11,2025-12-24_13-43-41
35,0,2025-12-24_13-43-41
36,-1325,2025-12-24_13-43-41
37,-327,2025-12-24_13-43-41
38,-658,2025-12-24_13-43-41
39,90,2025-12-24_13-43-41
40,-45,2025-12-24_13-43-41
41,-226,2025-12-24_13-43-41
42,-17,2025-12-24_13-43-41
43,-187,2025-12-24_13-43-41
44,-28,2025-12-24_13-43-41
45,-7,2025-12-24_13-43-41
46,-4,2025-12-24_13-43-41
47,29091,2025-12-24_13-43-41
48,127,2025-12-24_13-43-41
49,-3,2025-12-24_13-43-41
50,-189,2025-12-24_13-43-41
51,0,2025-12-24_13-43-41
53,-252,2025-12-24_13-43-41
54,260,2025-12-24_13-43-41
55,-5,2025-12-24_13-43-41
56,0,2025-12-24_13-43-41
57,0,2025-12-24_13-43-41
58,217,2025-12-24_13-43-41
59,156,2025-12-24_13-43-41
60,10,2025-12-24_13-43-41
61,-6,2025-12-24_13-43-41
62,2,2025-12-24_13-43-41
63,110,2025-12-24_13-43-41
64,-1674,2025-12-24_13-43-41
65,-17,2025-12-24_13-43-41
389,-23,2025-12-24_13-43-41
456,11,2025-12-24_13-43-41
677,-16,2025-12-24_13-43-41
688,2,2025-12-24_13-43-41
701,-1,2025-12-24_13-43-41
702,1,2025-12-24_13-43-41
703,253,2025-12-24_13-43-41
710,-19,2025-12-24_13-43-41
719,32,2025-12-24_13-43-41
754,0,2025-12-24_13-43-41
757,2,2025-12-24_13-43-41
768,1,2025-12-24_13-43-41
183,-9,2025-12-24_13-43-41
184,-15,2025-12-24_13-43-41
185,22,2025-12-24_13-43-41
186,-3,2025-12-24_13-43-41
187,45,2025-12-24_13-43-41
188,-2,2025-12-24_13-43-41
189,-1,2025-12-24_13-43-41
190,133,2025-12-24_13-43-41
191,-2753,2025-12-24_13-43-41
192,-47,2025-12-24_13-43-41
193,1,2025-12-24_13-43-41
194,-6,2025-12-24_13-43-41
195,13,2025-12-24_13-43-41
196,-3,2025-12-24_13-43-41
197,128,2025-12-24_13-43-41
198,-323,2025-12-24_13-43-41
199,38,2025-12-24_13-43-41
200,-383,2025-12-24_13-43-41
201,0,2025-12-24_13-43-41
202,4,2025-12-24_13-43-41
203,7,2025-12-24_13-43-41
204,0,2025-12-24_13-43-41
205,8,2025-12-24_13-43-41
206,31,2025-12-24_13-43-41
207,-11,2025-12-24_13-43-41
208,0,2025-12-24_13-43-41
209,5,2025-12-24_13-43-41
210,2,2025-12-24_13-43-41
211,-147,2025-12-24_13-43-41
212,-1,2025-12-24_13-43-41
213,11,2025-12-24_13-43-41
214,38,2025-12-24_13-43-41
215,-236,2025-12-24_13-43-41
216,1,2025-12-24_13-43-41
217,-393,2025-12-24_13-43-41
218,-12,2025-12-24_13-43-41
219,-12,2025-12-24_13-43-41
470,72,2025-12-24_13-43-41
676,62,2025-12-24_13-43-41
680,162,2025-12-24_13-43-41
722,2,2025-12-24_13-43-41
66,-5,2025-12-24_13-43-41
67,-705,2025-12-24_13-43-41
68,-42,2025-12-24_13-43-41
69,81,2025-12-24_13-43-41
70,-8,2025-12-24_13-43-41
71,0,2025-12-24_13-43-41
72,-884,2025-12-24_13-43-41
73,-9,2025-12-24_13-43-41
74,-101,2025-12-24_13-43-41
75,-1,2025-12-24_13-43-41
76,-9,2025-12-24_13-43-41
77,-46,2025-12-24_13-43-41
78,52,2025-12-24_13-43-41
79,-6,2025-12-24_13-43-41
80,11,2025-12-24_13-43-41
81,-60,2025-12-24_13-43-41
82,7386,2025-12-24_13-43-41
84,723,2025-12-24_13-43-41
85,-139,2025-12-24_13-43-41
86,22,2025-12-24_13-43-41
87,6,2025-12-24_13-43-41
88,13,2025-12-24_13-43-41
89,-1,2025-12-24_13-43-41
90,-17,2025-12-24_13-43-41
91,0,2025-12-24_13-43-41
92,-4,2025-12-24_13-43-41
93,-18,2025-12-24_13-43-41
94,-3,2025-12-24_13-43-41
95,-6,2025-12-24_13-43-41
96,-1,2025-12-24_13-43-41
97,-1082,2025-12-24_13-43-41
98,3,2025-12-24_13-43-41
99,-13,2025-12-24_13-43-41
100,-701,2025-12-24_13-43-41
391,-3,2025-12-24_13-43-41
685,-50,2025-12-24_13-43-41
687,11,2025-12-24_13-43-41
697,2,2025-12-24_13-43-41
713,-13,2025-12-24_13-43-41
721,-5,2025-12-24_13-43-41
756,4,2025-12-24_13-43-41
27,4,2025-12-24_13-43-41
83,-863,2025-12-24_13-43-41
101,789,2025-12-24_13-43-41
102,-17,2025-12-24_13-43-41
103,28,2025-12-24_13-43-41
104,-4,2025-12-24_13-43-41
105,-28,2025-12-24_13-43-41
106,-82,2025-12-24_13-43-41
107,4703,2025-12-24_13-43-41
108,-19,2025-12-24_13-43-41
109,22,2025-12-24_13-43-41
110,-4,2025-12-24_13-43-41
111,-10,2025-12-24_13-43-41
112,0,2025-12-24_13-43-41
113,141,2025-12-24_13-43-41
114,0,2025-12-24_13-43-41
115,-3,2025-12-24_13-43-41
116,7,2025-12-24_13-43-41
117,-5,2025-12-24_13-43-41
118,-2,2025-12-24_13-43-41
120,18,2025-12-24_13-43-41
