player_id,net_transfers_delta,timestamp
1,-463,2025-12-24_03-51-19
2,-16,2025-12-24_03-51-19
3,-19,2025-12-24_03-51-19
4,45,2025-12-24_03-51-19
5,-2792,2025-12-24_03-51-19
6,1984,2025-12-24_03-51-19
7,1740,2025-12-24_03-51-19
8,2669,2025-12-24_03-51-19
9,-1,2025-12-24_03-51-19
10,-327,2025-12-24_03-51-19
11,-2109,2025-12-24_03-51-19
13,33,2025-12-24_03-51-19
14,-10,2025-12-24_03-51-19
15,2,2025-12-24_03-51-19
16,-2251,2025-12-24_03-51-19
17,137,2025-12-24_03-51-19
18,-201,2025-12-24_03-51-19
19,-119,2025-12-24_03-51-19
20,520,2025-12-24_03-51-19
21,17322,2025-12-24_03-51-19
22,-2282,2025-12-24_03-51-19
23,-2,2025-12-24_03-51-19
24,-8,2025-12-24_03-51-19
25,-5,2025-12-24_03-51-19
26,-150,2025-12-24_03-51-19
28,-6,2025-12-24_03-51-19
29,-2,2025-12-24_03-51-19
30,-3,2025-12-24_03-51-19
31,56,2025-12-24_03-51-19
266,-9301,2025-12-24_03-51-19
662,-28,2025-12-24_03-51-19
666,-849,2025-12-24_03-51-19
700,-83,2025-12-24_03-51-19
711,-1,2025-12-24_03-51-19
725,160,2025-12-24_03-51-19
759,4,2025-12-24_03-51-19
32,82,2025-12-24_03-51-19
33,-36,2025-12-24_03-51-19
34,-10,2025-12-24_03-51-19
35,-3,2025-12-24_03-51-19
36,-1278,2025-12-24_03-51-19
37,-353,2025-12-24_03-51-19
38,-638,2025-12-24_03-51-19
39,73,2025-12-24_03-51-19
40,-67,2025-12-24_03-51-19
41,-242,2025-12-24_03-51-19
42,-22,2025-12-24_03-51-19
43,-183,2025-12-24_03-51-19
44,-50,2025-12-24_03-51-19
45,-14,2025-12-24_03-51-19
46,-11,2025-12-24_03-51-19
47,34801,2025-12-24_03-51-19
48,167,2025-12-24_03-51-19
49,-4,2025-12-24_03-51-19
50,-180,2025-12-24_03-51-19
51,-2,2025-12-24_03-51-19
53,-289,2025-12-24_03-51-19
54,284,2025-12-24_03-51-19
55,-8,2025-12-24_03-51-19
56,0,2025-12-24_03-51-19
57,-1,2025-12-24_03-51-19
58,294,2025-12-24_03-51-19
59,179,2025-12-24_03-51-19
60,4,2025-12-24_03-51-19
61,-7,2025-12-24_03-51-19
62,-6,2025-12-24_03-51-19
63,138,2025-12-24_03-51-19
64,-1773,2025-12-24_03-51-19
65,-16,2025-12-24_03-51-19
389,-54,2025-12-24_03-51-19
456,24,2025-12-24_03-51-19
677,-19,2025-12-24_03-51-19
688,32,2025-12-24_03-51-19
701,-5,2025-12-24_03-51-19
702,0,2025-12-24_03-51-19
703,330,2025-12-24_03-51-19
710,-24,2025-12-24_03-51-19
719,22,2025-12-24_03-51-19
754,1,2025-12-24_03-51-19
757,3,2025-12-24_03-51-19
768,3,2025-12-24_03-51-19
183,3,2025-12-24_03-51-19
184,-23,2025-12-24_03-51-19
185,12,2025-12-24_03-51-19
186,-1,2025-12-24_03-51-19
187,30,2025-12-24_03-51-19
188,36,2025-12-24_03-51-19
189,-1,2025-12-24_03-51-19
190,81,2025-12-24_03-51-19
191,-2946,2025-12-24_03-51-19
192,-87,2025-12-24_03-51-19
193,3,2025-12-24_03-51-19
194,-6,2025-12-24_03-51-19
195,16,2025-12-24_03-51-19
196,-2,2025-12-24_03-51-19
197,97,2025-12-24_03-51-19
198,-323,2025-12-24_03-51-19
199,14,2025-12-24_03-51-19
200,-482,2025-12-24_03-51-19
201,0,2025-12-24_03-51-19
202,11,2025-12-24_03-51-19
203,4,2025-12-24_03-51-19
204,-1,2025-12-24_03-51-19
205,-80,2025-12-24_03-51-19
206,22,2025-12-24_03-51-19
207,-13,2025-12-24_03-51-19
208,0,2025-12-24_03-51-19
209,-1,2025-12-24_03-51-19
210,1,2025-12-24_03-51-19
211,-149,2025-12-24_03-51-19
212,-1,2025-12-24_03-51-19
213,1,2025-12-24_03-51-19
214,20,2025-12-24_03-51-19
215,-152,2025-12-24_03-51-19
216,-1,2025-12-24_03-51-19
217,-465,2025-12-24_03-51-19
218,-87,2025-12-24_03-51-19
219,-15,2025-12-24_03-51-19
470,-67,2025-12-24_03-51-19
676,41,2025-12-24_03-51-19
680,180,2025-12-24_03-51-19
722,0,2025-12-24_03-51-19
66,-5,2025-12-24_03-51-19
67,-670,2025-12-24_03-51-19
68,-42,2025-12-24_03-51-19
69,100,2025-12-24_03-51-19
70,-5,2025-12-24_03-51-19
71,0,2025-12-24_03-51-19
72,-898,2025-12-24_03-51-19
73,-17,2025-12-24_03-51-19
74,-112,2025-12-24_03-51-19
75,-8,2025-12-24_03-51-19
76,-6,2025-12-24_03-51-19
77,-65,2025-12-24_03-51-19
78,50,2025-12-24_03-51-19
79,-1,2025-12-24_03-51-19
80,18,2025-12-24_03-51-19
81,-49,2025-12-24_03-51-19
82,9635,2025-12-24_03-51-19
84,1040,2025-12-24_03-51-19
85,-184,2025-12-24_03-51-19
86,26,2025-12-24_03-51-19
87,4,2025-12-24_03-51-19
88,13,2025-12-24_03-51-19
89,-1,2025-12-24_03-51-19
90,-25,2025-12-24_03-51-19
91,-1,2025-12-24_03-51-19
92,-7,2025-12-24_03-51-19
93,-22,2025-12-24_03-51-19
94,-2,2025-12-24_03-51-19
95,-9,2025-12-24_03-51-19
96,-1,2025-12-24_03-51-19
97,-990,2025-12-24_03-51-19
98,-6,2025-12-24_03-51-19
99,-18,2025-12-24_03-51-19
100,-739,2025-12-24_03-51-19
391,-4,2025-12-24_03-51-19
685,-54,2025-12-24_03-51-19
687,0,2025-12-24_03-51-19
697,-4,2025-12-24_03-51-19
713,-15,2025-12-24_03-51-19
721,-3,2025-12-24_03-51-19
756,-1,2025-12-24_03-51-19
27,12,2025-12-24_03-51-19
83,-987,2025-12-24_03-51-19
101,828,2025-12-24_03-51-19
102,-14,2025-12-24_03-51-19
103,21,2025-12-24_03-51-19
104,-4,2025-12-24_03-51-19
105,-43,2025-12-24_03-51-19
106,-106,2025-12-24_03-51-19
107,5019,2025-12-24_03-51-19
108,-18,2025-12-24_03-51-19
109,40,2025-12-24_03-51-19
110,-13,2025-12-24_03-51-19
111,-8,2025-12-24_03-51-19
112,-1,2025-12-24_03-51-19
113,52,2025-12-24_03-51-19
114,-7,2025-12-24_03-51-19
115,-4,2025-12-24_03-51-19
116,31,2025-12-24_03-51-19
117,-4,2025-12-24_03-51-19
118,-2,2025-12-24_03-51-19
120,-26,2025-12-24_03-51-19
121,-55,2025-12-24_03-51-19
122,-1,2025-12-24_03-51-19
123,-9,2025-12-24_03-51-19
124,141,2025-12-24_03-51-19
125,64,2025-12-24_03-51-19
126,1,2025-12-24_03-51-19
127,4,2025-12-24_03-51-19
128,-7,2025-12-24_03-51-19
129,18,2025-12-24_03-51-19
130,4,2025-12-24_03-51-19
131,57,2025-12-24_03-51-19
132,7,2025-12-24_03-51-19
133,11,2025-12-24_03-51-19
134,-2,2025-12-24_03-51-19
136,-25199,2025-12-24_03-51-19
137,-24,2025-12-24_03-51-19
748,0,2025-12-24_03-51-19
138,-6,2025-12-24_03-51-19
139,363,2025-12-24_03-51-19
140,15,2025-12-24_03-51-19
141,0,2025-12-24_03-51-19
142,0,2025-12-24_03-51-19
143,7,2025-12-24_03-51-19
144,7,2025-12-24_03-51-19
145,824,2025-12-24_03-51-19
146,-36,2025-12-24_03-51-19
147,0,2025-12-24_03-51-19
148,7,2025-12-24_03-51-19
150,-5,2025-12-24_03-51-19
151,-3483,2025-12-24_03-51-19
152,-4,2025-12-24_03-51-19
153,-1,2025-12-24_03-51-19
154,0,2025-12-24_03-51-19
155,-4,2025-12-24_03-51-19
156,4,2025-12-24_03-51-19
