player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,snapshot_date,net_transfers_delta,price_change,velocity,trend_score
1,David Raya Martín,Raya,Arsenal,6.0,35.7,9706,28465,3.5,1710,a,2026-01-01,-69,0.0,-69.0,-69.0
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,86,148,0.0,0,a,2026-01-01,0,0.0,-34.5,-51.75
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,40,0.0,0,u,2026-01-01,0,0.0,-23.0,-42.166666666666664
4,Tommy Setford,Setford,Arsenal,3.9,0.3,283,243,0.0,0,a,2026-01-01,-3,0.0,-1.0,-31.875
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.4,17.0,281996,2553,2.7,1085,a,2026-01-01,858,0.0,285.0,31.5
6,William Saliba,Saliba,Arsenal,5.9,11.7,11982,11358,2.0,1174,a,2026-01-01,8,0.0,287.6666666666667,102.83333333333334
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,9.1,641,32986,2.3,1256,d,2026-01-01,-151,0.0,238.33333333333331,157.4
8,Jurriën Timber,J.Timber,Arsenal,6.4,28.4,25477,55032,3.5,1459,a,2026-01-01,60,0.0,-27.666666666666668,156.46666666666667
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,2,0.0,0,u,2026-01-01,0,0.0,-30.33333333333333,150.6
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.6,329,1284,0.7,278,a,2026-01-01,-2,0.0,19.33333333333333,97.46666666666667
11,Benjamin White,White,Arsenal,5.1,0.6,155,1651,2.8,287,a,2026-01-01,0,0.0,-0.6666666666666666,39.8
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,223,350,0.0,0,a,2026-01-01,-2,0.0,-1.3333333333333333,-8.133333333333335
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,23,0.0,0,u,2026-01-01,0,0.0,-0.6666666666666666,-2.7333333333333334
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,45,91,0.0,0,a,2026-01-01,1,0.0,-0.3333333333333333,3.2666666666666666
16,Bukayo Saka,Saka,Arsenal,10.3,21.4,21111,19099,6.2,1320,a,2026-01-01,32,0.0,11.0,1.6000000000000003
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.9,15469,1487,4.0,714,a,2026-01-01,72,0.0,35.0,8.733333333333334
18,Noni Madueke,Madueke,Arsenal,6.8,0.7,273,911,0.8,427,a,2026-01-01,-2,0.0,34.0,15.8
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,545,716,1.0,408,a,2026-01-01,4,0.0,24.666666666666668,20.866666666666667
20,Leandro Trossard,Trossard,Arsenal,6.9,1.2,30133,2298,4.2,1042,a,2026-01-01,176,0.0,59.333333333333336,32.8
21,Declan Rice,Rice,Arsenal,7.2,24.1,6778,134114,4.5,1515,d,2026-01-01,-585,0.0,-135.0,3.6
22,Mikel Merino Zazón,Merino,Arsenal,5.8,2.7,1843,9586,3.3,921,a,2026-01-01,-40,0.0,-149.66666666666666,-33.33333333333333
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,0,0.0,0,u,2026-01-01,0,0.0,-208.33333333333331,-81.8
24,Christian Nørgaard,Nørgaard,Arsenal,5.1,0.1,39,54,0.2,31,a,2026-01-01,0,0.0,-13.333333333333334,-89.4
25,Ethan Nwaneri,Nwaneri,Arsenal,5.0,0.1,32,64,0.0,165,a,2026-01-01,-1,0.0,-0.3333333333333333,-101.33333333333333
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,4798,1280,3.2,1590,a,2026-01-01,10,0.0,3.0,-73.73333333333332
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,21,0.0,0,u,2026-01-01,0,0.0,3.0,-43.199999999999996
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,10,0.0,0,u,2026-01-01,0,0.0,3.333333333333333,-0.8666666666666668
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,186,55,0.0,30,a,2026-01-01,1,0.0,0.3333333333333333,1.8666666666666665
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,3060,533,1.2,66,a,2026-01-01,8,0.0,3.0,2.5333333333333337
266,Eberechi Eze,Eze,Arsenal,7.5,11.9,2100,39128,0.5,991,a,2026-01-01,-152,0.0,-47.66666666666666,-7.599999999999997
662,Cristhian Mosquera,Mosquera,Arsenal,5.3,0.1,9,79,0.2,429,i,2026-01-01,0,0.0,-48.0,-17.799999999999997
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,9.8,1479,7483,2.2,1161,a,2026-01-01,-25,0.0,-59.0,-30.266666666666662
700,Max Dowman,Dowman,Arsenal,4.3,0.3,292,592,0.0,27,i,2026-01-01,0,0.0,-8.333333333333334,-32.0
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,11,6,0.0,0,a,2026-01-01,0,0.0,-8.333333333333334,-34.266666666666666
725,Piero Hincapié,Hincapie,Arsenal,5.4,2.2,2563,14262,4.7,743,a,2026-01-01,-35,0.0,-11.666666666666666,-27.06666666666667
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,18,23,0.0,0,a,2026-01-01,0,0.0,-11.666666666666666,-19.8
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.0,3.2,9510,3585,1.7,1350,a,2026-01-01,25,0.0,-3.333333333333333,-8.666666666666666
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,42,147,0.3,360,a,2026-01-01,0,0.0,8.333333333333334,-5.333333333333331
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,24,0.0,0,u,2026-01-01,0,0.0,8.333333333333334,-1.9999999999999982
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,2,0.0,0,u,2026-01-01,0,0.0,0.0,0.333333333333335
36,Matty Cash,Cash,Aston Villa,4.8,9.6,3256,44650,2.7,1592,s,2026-01-01,0,0.0,0.0,2.6666666666666683
37,Lucas Digne,Digne,Aston Villa,4.5,1.6,3608,1601,0.7,1099,a,2026-01-01,8,0.0,2.6666666666666665,3.8666666666666685
38,Ezri Konsa Ngoyo,Konsa,Aston Villa,4.4,7.4,9804,4031,1.7,1595,a,2026-01-01,37,0.0,15.0,5.200000000000001
39,Ian Maatsen,Maatsen,Aston Villa,4.2,0.5,821,469,1.3,603,a,2026-01-01,6,0.0,17.0,6.9333333333333345
40,Tyrone Mings,Mings,Aston Villa,4.3,0.6,12,196,0.0,497,d,2026-01-01,0,0.0,14.333333333333334,9.8
41,Pau Torres,Pau,Aston Villa,4.3,0.3,16,678,0.7,952,d,2026-01-01,0,0.0,2.0,10.200000000000001
42,Andrés García,A.García,Aston Villa,3.9,0.2,107,132,0.0,29,a,2026-01-01,-1,0.0,-0.3333333333333333,9.600000000000001
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,446,0.0,0,u,2026-01-01,-3,0.0,-1.3333333333333333,6.333333333333335
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.5,429,355,0.3,417,a,2026-01-01,0,0.0,-1.3333333333333333,2.6666666666666683
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,44,91,0.0,0,a,2026-01-01,1,0.0,-0.6666666666666666,-0.33333333333333187
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,27,0.0,0,u,2026-01-01,-2,0.0,-0.3333333333333333,-0.7999999999999985
47,Morgan Rogers,Rogers,Aston Villa,7.4,24.8,125057,15382,6.7,1687,a,2026-01-01,528,0.0,175.66666666666666,34.4
48,Youri Tielemans,Tielemans,Aston Villa,5.9,0.8,3241,808,3.3,952,a,2026-01-01,17,0.0,181.0,70.86666666666667
49,Leon Bailey,Bailey,Aston Villa,5.5,0.1,0,7,0.0,0,u,2026-01-01,0,0.0,181.66666666666663,107.46666666666665
50,Emiliano Buendía Stati,Buendía,Aston Villa,5.3,0.4,912,912,2.3,679,a,2026-01-01,2,0.0,6.333333333333333,108.86666666666665
51,Samuel Iling-Junior,Iling Jr,Aston Villa,5.5,0.0,0,0,0.0,0,u,2026-01-01,0,0.0,0.6666666666666666,109.06666666666665
53,Donyell Malen,Malen,Aston Villa,5.1,0.7,835,998,2.3,616,a,2026-01-01,1,0.0,1.0,74.13333333333333
54,John McGinn,McGinn,Aston Villa,5.4,0.7,1307,986,2.0,1420,a,2026-01-01,2,0.0,1.0,38.133333333333326
55,Ross Barkley,Barkley,Aston Villa,4.8,0.0,12,18,0.0,114,i,2026-01-01,0,0.0,1.0,2.0
56,Enzo Barrenechea,Barrenechea,Aston Villa,5.0,0.0,0,0,0.0,0,u,2026-01-01,0,0.0,0.6666666666666666,0.8666666666666666
57,Lewis Dobbin,Dobbin,Aston Villa,5.0,0.0,0,1,0.0,0,u,2026-01-01,0,0.0,0.0,0.7333333333333333
58,Boubacar Kamara,Kamara,Aston Villa,4.9,0.5,92,2248,2.7,1239,s,2026-01-01,0,0.0,0.0,0.5333333333333333
59,Amadou Onana,Onana,Aston Villa,4.8,0.8,1095,1317,3.5,886,d,2026-01-01,-2,0.0,-0.6666666666666666,0.2
60,Ben Broggio,Broggio,Aston Villa,4.5,0.3,139,170,0.0,0,a,2026-01-01,-2,0.0,-1.3333333333333333,-0.26666666666666666
61,Leander Dendoncker,Dendoncker,Aston Villa,4.5,0.1,0,12,0.0,0,u,2026-01-01,0,0.0,-1.3333333333333333,-0.6666666666666666
62,Jamaldeen Jimoh-Aloba,Jimoh-Aloba,Aston Villa,4.5,0.1,44,42,0.2,8,a,2026-01-01,1,0.0,-0.3333333333333333,-0.7333333333333333
63,Kadan Young,Young,Aston Villa,4.3,0.6,881,572,0.0,0,a,2026-01-01,8,0.0,3.0,-0.1333333333333333
64,Ollie Watkins,Watkins,Aston Villa,8.5,7.8,35018,3786,7.0,1389,a,2026-01-01,139,0.0,49.333333333333336,9.866666666666667
65,Zépiqueno Redmond,Redmond,Aston Villa,4.5,0.3,0,48,0.0,0,u,2026-01-01,0,0.0,49.0,19.933333333333334
389,Harvey Elliott,Elliott,Aston Villa,5.2,0.2,16,106,0.0,97,d,2026-01-01,0,0.0,46.333333333333336,29.46666666666667
456,Jadon Sancho,Sancho,Aston Villa,5.8,0.2,337,111,0.7,217,a,2026-01-01,1,0.0,0.3333333333333333,29.6
677,Evann Guessand,Guessand,Aston Villa,6.2,0.0,3,37,1.5,511,n,2026-01-01,0,0.0,0.3333333333333333,29.06666666666667
688,James Wright,Wright,Aston Villa,3.9,0.6,272,363,0.0,0,a,2026-01-01,1,0.0,0.6666666666666666,19.333333333333336
701,Triston Rowe,Rowe,Aston Villa,4.0,0.1,0,26,0.0,0,u,2026-01-01,0,0.0,0.3333333333333333,9.6
702,Bradley Burrowes,Burrowes,Aston Villa,4.4,0.1,22,40,0.0,16,a,2026-01-01,-1,0.0,0.0,0.3333333333333333
703,Sam Proctor,Proctor,Aston Villa,3.9,0.6,1651,687,0.0,0,a,2026-01-01,2,0.0,0.3333333333333333,0.3333333333333333
710,Travis Patterson,Patterson,Aston Villa,3.9,0.2,35,120,0.0,0,a,2026-01-01,-1,0.0,0.0,0.2666666666666666
719,Victor Lindelöf,Lindelöf,Aston Villa,4.5,0.1,672,131,1.5,385,a,2026-01-01,12,0.0,4.333333333333333,1.0
754,George Hemmings,George Hemmings,Aston Villa,4.5,0.0,16,10,0.2,8,a,2026-01-01,0,0.0,3.6666666666666665,1.6666666666666665
757,Ronnie Hollingshead,Hollingshead,Aston Villa,4.0,0.0,17,10,0.0,0,a,2026-01-01,0,0.0,4.0,2.4666666666666663
768,Leon Routh,Leon Routh,Aston Villa,4.0,0.0,13,11,0.0,0,a,2026-01-01,0,0.0,0.0,2.3999999999999995
183,Max Weiß,Weiss,Burnley,4.3,0.1,44,47,0.0,0,a,2026-01-01,-1,0.0,-0.3333333333333333,2.333333333333333
184,Etienne Green,Green,Burnley,4.0,0.2,0,33,0.0,0,u,2026-01-01,-1,0.0,-0.6666666666666666,1.333333333333333
185,Václav Hladký,Hladký,Burnley,3.9,0.2,106,114,0.0,0,a,2026-01-01,0,0.0,-0.6666666666666666,0.46666666666666645
186,Connor Roberts,Roberts,Burnley,4.4,0.0,12,6,0.0,0,i,2026-01-01,0,0.0,-0.3333333333333333,-0.40000000000000024
187,Kyle Walker,Walker,Burnley,4.4,1.2,722,700,1.7,1606,a,2026-01-01,4,0.0,1.3333333333333333,-0.1333333333333336
188,Hannes Delcroix,Delcroix,Burnley,3.8,0.3,107,186,0.0,0,a,2026-01-01,4,0.0,2.6666666666666665,0.46666666666666634
189,Owen Dodgson,Dodgson,Burnley,4.0,0.0,0,2,0.0,0,u,2026-01-01,0,0.0,2.6666666666666665,1.1333333333333329
190,Hjalmar Ekdal,Ekdal,Burnley,3.9,0.9,2579,744,3.7,1073,a,2026-01-01,9,0.0,4.333333333333333,2.133333333333333
191,Maxime Estève,Estève,Burnley,3.9,9.7,790,10801,1.3,1446,d,2026-01-01,-46,0.0,-12.333333333333334,-0.2666666666666668
192,Quilindschy Hartman,Hartman,Burnley,4.0,0.9,727,1573,1.0,1337,a,2026-01-01,-3,0.0,-13.333333333333334,-3.2
193,Bashir Humphreys,Humphreys,Burnley,3.9,0.1,99,29,1.7,167,a,2026-01-01,0,0.0,-16.333333333333332,-7.0
194,Jordan Beyer,Jordan,Burnley,3.9,0.1,8,9,0.0,0,i,2026-01-01,0,0.0,-1.0,-7.733333333333334
195,Lucas Pires Silva,Lucas Pires,Burnley,3.8,0.2,296,174,1.0,321,a,2026-01-01,2,0.0,0.6666666666666666,-8.466666666666667
196,Shurandy Sambo,Sambo,Burnley,4.0,0.0,0,4,0.0,0,u,2026-01-01,0,0.0,0.6666666666666666,-5.866666666666667
197,Oliver Sonne,Sonne,Burnley,3.8,0.3,293,307,1.3,128,a,2026-01-01,3,0.0,1.6666666666666667,-2.8666666666666663
198,Axel Tuanzebe,Tuanzebe,Burnley,3.9,1.1,16,669,0.2,706,n,2026-01-01,-3,0.0,0.0,0.3999999999999993
199,Joe Worrall,Worrall,Burnley,3.8,0.2,12,129,0.5,154,d,2026-01-01,-1,0.0,-0.3333333333333333,0.5333333333333325
200,Jaidon Anthony,Anthony,Burnley,5.1,2.2,355,2535,1.0,1139,a,2026-01-01,-15,0.0,-6.333333333333333,-0.8666666666666674
201,Manuel Benson Hedilazio,Benson,Burnley,5.4,0.0,0,2,0.0,0,u,2026-01-01,-1,0.0,-5.666666666666667,-2.133333333333334
202,Jacob Bruun Larsen,Bruun Larsen,Burnley,5.3,0.0,36,61,2.0,799,a,2026-01-01,0,0.0,-5.333333333333333,-3.533333333333334
203,Enock Agyei,Boateng,Burnley,4.7,0.0,35,26,0.0,0,a,2026-01-01,0,0.0,-0.3333333333333333,-3.6000000000000005
204,Darko Churlinov,Churlinov,Burnley,4.9,0.0,0,3,0.0,0,u,2026-01-01,0,0.0,0.0,-3.533333333333334
205,Josh Cullen,Cullen,Burnley,5.0,1.6,61,6150,2.2,1513,i,2026-01-01,0,0.0,0.0,-2.2666666666666675
206,Marcus Edwards,Edwards,Burnley,4.7,0.1,183,61,2.0,273,a,2026-01-01,1,0.0,0.3333333333333333,-1.0666666666666673
207,Hannibal Mejbri,Hannibal,Burnley,4.7,0.1,9,41,0.2,395,n,2026-01-01,0,0.0,0.3333333333333333,0.06666666666666596
208,Luca Koleosho,Koleosho,Burnley,5.0,0.0,0,1,0.0,0,u,2026-01-01,0,0.0,0.3333333333333333,0.1999999999999993
209,Josh Laurent,Laurent,Burnley,4.8,0.0,282,47,3.2,873,a,2026-01-01,1,0.0,0.3333333333333333,0.26666666666666594
210,Loum Tchaouna,Tchaouna,Burnley,4.9,0.0,25,22,0.7,726,a,2026-01-01,-1,0.0,0.0,0.26666666666666594
211,Aaron Ramsey,A.Ramsey,Burnley,4.4,1.6,0,343,0.0,0,u,2026-01-01,0,0.0,0.0,0.1999999999999993
212,Oluwaseun Adewumi,Adewumi,Burnley,4.5,0.0,0,1,0.0,0,u,2026-01-01,0,0.0,-0.3333333333333333,0.06666666666666596
213,Jaydon Banel,Banel,Burnley,4.5,0.0,30,42,0.0,0,a,2026-01-01,0,0.0,0.0,-7.105427357601002e-16
214,Mike Trésor Ndayishimiye,Trésor,Burnley,4.4,0.1,70,83,0.7,19,a,2026-01-01,4,0.0,1.3333333333333333,0.1999999999999993
