player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status
1,David Raya Martín,Raya,Arsenal,6.0,36.3,33637,39186,4.0,1530,a
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,385,701,0.0,0,a
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,357,0.0,0,u
4,Tommy Setford,Setford,Arsenal,3.9,0.3,1551,774,0.0,0,a
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.2,12.5,2259,54874,0.0,990,d
6,William Saliba,Saliba,Arsenal,5.9,11.3,46686,9001,1.6,994,a
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,10.3,43982,13268,2.8,1256,a
8,Jurriën Timber,J.Timber,Arsenal,6.5,33.6,97093,42057,2.8,1377,a
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,26,0.0,0,u
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.7,1889,9513,0.4,195,a
11,Benjamin White,White,Arsenal,5.2,1.1,52,43450,3.2,280,i
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,2057,1480,0.0,0,a
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,130,0.0,0,u
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,372,397,0.0,0,a
16,Bukayo Saka,Saka,Arsenal,10.3,22.2,65769,135012,5.8,1148,a
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.6,5806,5003,2.0,534,a
18,Noni Madueke,Madueke,Arsenal,6.8,0.8,2189,6908,1.0,420,a
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,1787,5046,1.2,400,d
20,Leandro Trossard,Trossard,Arsenal,6.9,0.9,14311,6026,2.0,871,a
21,Declan Rice,Rice,Arsenal,7.2,24.8,298312,25007,5.2,1425,a
22,Mikel Merino Zazón,Merino,Arsenal,5.9,3.3,15880,68755,5.0,759,a
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,8,0.0,0,u
24,Christian Nørgaard,Nørgaard,Arsenal,5.2,0.1,183,290,0.0,14,a
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,186,320,0.0,165,a
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,6800,9417,1.8,1410,a
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,97,0.0,0,u
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,48,0.0,0,u
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,76,201,0.0,30,i
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,2662,3548,0.4,34,a
