player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status
1,David Raya Martín,Raya,Arsenal,6.0,36.4,10237,13422,3.5,1530,a
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,125,201,0.0,0,a
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,118,0.0,0,u
4,Tommy Setford,Setford,Arsenal,3.9,0.2,574,208,0.0,0,a
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.2,12.8,1057,21249,0.0,990,d
6,William Saliba,Saliba,Arsenal,5.9,11.0,15082,2646,1.7,994,a
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,10.0,13747,4708,2.7,1256,a
8,Jurriën Timber,J.Timber,Arsenal,6.5,33.2,28452,16287,3.3,1377,a
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,13,0.0,0,u
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.7,670,3419,0.5,195,a
11,Benjamin White,White,Arsenal,5.3,1.3,25,17028,2.7,280,i
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,766,437,0.0,0,a
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,53,0.0,0,u
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,121,127,0.0,0,a
16,Bukayo Saka,Saka,Arsenal,10.3,22.5,12609,46255,5.5,1148,a
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.6,1458,1568,1.7,534,a
18,Noni Madueke,Madueke,Arsenal,6.8,0.8,850,2134,1.0,420,a
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,742,1377,1.0,400,a
20,Leandro Trossard,Trossard,Arsenal,6.9,0.9,4102,1840,3.7,871,a
21,Declan Rice,Rice,Arsenal,7.1,22.8,70985,10346,5.3,1425,a
22,Mikel Merino Zazón,Merino,Arsenal,6.0,3.6,5766,23970,5.0,759,a
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,3,0.0,0,u
24,Christian Nørgaard,Nørgaard,Arsenal,5.2,0.1,63,100,0.0,14,a
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,77,116,0.2,165,a
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,2447,2851,1.8,1410,a
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,39,0.0,0,u
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,23,0.0,0,u
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,19,71,0.0,30,i
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,1050,1229,0.3,34,a
266,Eberechi Eze,Eze,Arsenal,7.7,16.1,7402,75839,4.2,991,a
662,Cristhian Mosquera,Mosquera,Arsenal,5.4,0.1,5,233,0.5,429,i
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,10.3,3634,10243,1.5,1015,a
700,Max Dowman,Dowman,Arsenal,4.3,0.4,570,1266,0.0,27,i
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,9,18,0.0,0,a
725,Piero Hincapié,Hincapie,Arsenal,5.5,3.0,6862,2212,4.7,563,a
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,27,26,0.0,0,a
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.1,3.2,479,7799,2.5,1125,d
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,143,251,0.3,360,a
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,55,0.0,0,u
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,4,0.0,0,u
36,Matty Cash,Cash,Aston Villa,4.9,13.4,13667,18602,3.7,1457,a
37,Lucas Digne,Digne,Aston Villa,4.5,1.8,1151,2159,1.7,987,a
38,Ezri Konsa Ngoyo,Konsa,Aston Villa,4.4,7.7,3456,5698,2.5,1370,a
39,Ian Maatsen,Maatsen,Aston Villa,4.2,0.5,621,376,1.0,492,a
40,Tyrone Mings,Mings,Aston Villa,4.3,0.6,12,485,0.0,497,i
41,Pau Torres,Pau,Aston Villa,4.3,0.4,31,2310,2.3,952,i
42,Andrés García,A.García,Aston Villa,3.9,0.2,157,159,0.0,0,a
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,1290,0.0,0,u
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.6,476,504,0.7,318,a
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,82,143,0.0,0,a
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,72,0.0,0,u
47,Morgan Rogers,Rogers,Aston Villa,7.1,14.5,45518,12127,7.8,1471,a
48,Youri Tielemans,Tielemans,Aston Villa,5.9,0.7,1480,576,2.5,736,a
49,Leon Bailey,Bailey,Aston Villa,5.5,0.1,0,24,0.0,0,u
50,Emiliano Buendía Stati,Buendía,Aston Villa,5.3,0.5,989,1423,1.7,555,a
51,Samuel Iling-Junior,Iling Jr,Aston Villa,5.5,0.0,0,4,0.0,0,u
53,Donyell Malen,Malen,Aston Villa,5.1,0.9,1357,1591,2.5,514,a
54,John McGinn,McGinn,Aston Villa,5.4,0.7,1355,1003,3.2,1279,a
55,Ross Barkley,Barkley,Aston Villa,4.8,0.0,8,49,0.8,114,i
56,Enzo Barrenechea,Barrenechea,Aston Villa,5.0,0.0,0,0,0.0,0,u
57,Lewis Dobbin,Dobbin,Aston Villa,5.0,0.0,0,6,0.0,0,u
58,Boubacar Kamara,Kamara,Aston Villa,4.9,0.6,3510,1156,4.8,1115,a
59,Amadou Onana,Onana,Aston Villa,4.8,0.8,1594,807,2.8,772,a
60,Ben Broggio,Broggio,Aston Villa,4.5,0.3,268,251,0.0,0,a
61,Leander Dendoncker,Dendoncker,Aston Villa,4.5,0.1,0,44,0.0,0,u
62,Jamaldeen Jimoh-Aloba,Jimoh-Aloba,Aston Villa,4.5,0.1,77,47,0.0,0,a
63,Kadan Young,Young,Aston Villa,4.3,0.6,1739,581,0.0,0,a
64,Ollie Watkins,Watkins,Aston Villa,8.5,7.5,2510,12779,4.0,1238,a
65,Zépiqueno Redmond,Redmond,Aston Villa,4.5,0.3,0,161,0.0,0,u
389,Harvey Elliott,Elliott,Aston Villa,5.2,0.2,22,308,0.0,97,d
456,Jadon Sancho,Sancho,Aston Villa,5.8,0.2,122,232,0.5,126,a
677,Evann Guessand,Guessand,Aston Villa,6.2,0.0,4,201,1.3,505,n
688,James Wright,Wright,Aston Villa,3.9,0.6,479,357,0.0,0,a
701,Triston Rowe,Rowe,Aston Villa,4.0,0.1,0,43,0.0,0,u
702,Bradley Burrowes,Burrowes,Aston Villa,4.4,0.1,32,37,0.0,16,a
703,Sam Proctor,Proctor,Aston Villa,3.9,0.5,2686,438,0.0,0,a
710,Travis Patterson,Patterson,Aston Villa,3.9,0.2,44,142,0.0,0,a
719,Victor Lindelöf,Lindelöf,Aston Villa,4.5,0.1,183,57,1.0,160,a
754,George Hemmings,George Hemmings,Aston Villa,4.5,0.0,24,12,0.0,0,a
757,Ronnie Hollingshead,Hollingshead,Aston Villa,4.0,0.0,24,18,0.0,0,a
183,Max Weiß,Weiss,Burnley,4.3,0.1,56,62,0.0,0,a
184,Etienne Green,Green,Burnley,4.0,0.2,0,125,0.0,0,u
185,Václav Hladký,Hladký,Burnley,3.9,0.2,128,82,0.0,0,a
186,Connor Roberts,Roberts,Burnley,4.4,0.0,4,13,0.0,0,i
187,Kyle Walker,Walker,Burnley,4.4,1.2,652,654,1.2,1426,a
188,Hannes Delcroix,Delcroix,Burnley,3.8,0.3,382,237,0.0,0,a
189,Owen Dodgson,Dodgson,Burnley,4.0,0.0,0,3,0.0,0,u
190,Hjalmar Ekdal,Ekdal,Burnley,3.9,0.8,570,470,1.7,893,a
191,Maxime Estève,Estève,Burnley,3.9,11.3,4420,10936,2.3,1432,d
192,Quilindschy Hartman,Hartman,Burnley,4.0,1.0,1014,1457,1.7,1337,a
193,Bashir Humphreys,Humphreys,Burnley,3.9,0.1,2,55,0.0,2,i
194,Jordan Beyer,Jordan,Burnley,3.9,0.1,2,24,0.0,0,i
195,Lucas Pires Silva,Lucas Pires,Burnley,3.8,0.2,325,135,-0.2,141,a
196,Shurandy Sambo,Sambo,Burnley,4.0,0.0,0,10,0.0,0,u
197,Oliver Sonne,Sonne,Burnley,3.8,0.3,1340,262,1.3,128,a
198,Axel Tuanzebe,Tuanzebe,Burnley,3.9,1.2,12,2033,0.3,706,n
199,Joe Worrall,Worrall,Burnley,3.8,0.2,107,87,0.5,154,a
200,Jaidon Anthony,Anthony,Burnley,5.2,2.4,905,4600,1.8,1122,a
201,Manuel Benson Hedilazio,Benson,Burnley,5.4,0.0,0,6,0.0,0,u
202,Jacob Bruun Larsen,Bruun Larsen,Burnley,5.3,0.0,62,31,1.7,711,a
203,Enock Agyei,Boateng,Burnley,4.7,0.0,66,39,0.0,0,a
204,Darko Churlinov,Churlinov,Burnley,4.9,0.0,0,3,0.0,0,u
205,Josh Cullen,Cullen,Burnley,5.0,1.9,3641,2603,2.7,1461,a
206,Marcus Edwards,Edwards,Burnley,4.7,0.1,170,60,1.2,96,a
207,Hannibal Mejbri,Hannibal,Burnley,4.8,0.1,9,119,0.2,395,n
208,Luca Koleosho,Koleosho,Burnley,5.0,0.0,0,5,0.0,0,u
209,Josh Laurent,Laurent,Burnley,4.8,0.0,26,11,1.0,693,a
210,Loum Tchaouna,Tchaouna,Burnley,4.9,0.0,28,17,1.2,653,a
211,Aaron Ramsey,A.Ramsey,Burnley,4.4,1.6,0,1047,0.0,0,u
212,Oluwaseun Adewumi,Adewumi,Burnley,4.5,0.0,0,3,0.0,0,u
213,Jaydon Banel,Banel,Burnley,4.5,0.0,65,53,0.0,0,a
214,Mike Trésor Ndayishimiye,Trésor,Burnley,4.4,0.1,129,66,0.3,15,a
215,Zian Flemming,Flemming,Burnley,5.3,0.7,2106,3379,2.7,658,a
216,Zeki Amdouni,Amdouni,Burnley,4.8,0.0,14,15,0.0,0,i
217,Lyle Foster,Foster,Burnley,5.0,1.0,46,3613,1.3,866,n
218,Ashley Barnes,Barnes,Burnley,4.3,1.2,1000,1363,0.0,7,a
219,Michael Obafemi,Obafemi,Burnley,4.4,0.1,0,63,0.0,0,u
470,Martin Dúbravka,Dúbravka,Burnley,4.0,33.5,7455,6764,1.8,1530,a
676,Lesley Ugochukwu,Ugochukwu,Burnley,5.0,0.1,344,184,2.8,961,a
680,Armando Broja,Broja,Burnley,5.2,0.2,947,236,2.3,311,a
722,Florentino Ibrain Morris Luís,Florentino,Burnley,5.0,0.0,39,91,2.2,1009,a
66,Norberto Murara Neto,Neto,Bournemouth,4.5,0.1,0,28,0.0,0,u
67,Đorđe Petrović,Petrović,Bournemouth,4.5,5.6,1783,5418,2.5,1530,a
68,Will Dennis,Dennis,Bournemouth,4.0,0.9,163,381,0.0,0,a
69,Callan McKenna,McKenna,Bournemouth,4.0,0.2,38,86,0.0,0,a
70,Alex Paulsen,Paulsen,Bournemouth,4.0,0.1,0,31,0.0,0,u
71,Illia Zabarnyi,Zabarnyi,Bournemouth,5.0,0.0,0,5,0.0,0,u
72,Marcos Senesi Barón,Senesi,Bournemouth,4.9,17.0,16588,10007,3.2,1398,a
73,Adam Smith,Smith,Bournemouth,4.4,0.2,123,236,1.7,476,a
74,Adrien Truffert,Truffert,Bournemouth,4.5,2.4,2397,2797,2.5,1502,a
75,Matai Akinmboni,Akinmboni,Bournemouth,3.8,0.2,91,168,0.0,0,d
76,Owen Bevan,Bevan,Bournemouth,3.9,0.2,49,83,0.0,0,a
77,James Hill,Hill,Bournemouth,3.9,0.7,214,592,0.3,302,a
78,Julián Araujo Zúñiga,J.Araujo,Bournemouth,3.8,0.7,857,516,0.0,0,a
79,Chris Mepham,Mepham,Bournemouth,4.0,0.1,0,25,0.0,0,u
80,Julio Soler Barreto,Soler,Bournemouth,4.0,0.2,249,190,0.2,21,a
81,Justin Kluivert,Kluivert,Bournemouth,7.0,0.9,1160,1376,1.8,706,a
82,Antoine Semenyo,Semenyo,Bournemouth,7.7,45.5,67391,17065,4.0,1440,a
84,Marcus Tavernier,Tavernier,Bournemouth,5.6,3.1,13909,5488,4.7,1336,a
85,Tyler Adams,Adams,Bournemouth,5.0,0.4,19,1660,2.2,1196,i
86,David Brooks,Brooks,Bournemouth,5.0,0.2,281,146,0.8,718,a
87,Ryan Christie,Christie,Bournemouth,4.9,0.1,35,36,0.3,287,a
88,Lewis Cook,Cook,Bournemouth,4.9,0.0,136,33,1.0,304,a
89,Philip Billing,Philip,Bournemouth,4.9,0.0,0,6,0.0,0,u
90,Alex Scott,Scott,Bournemouth,5.0,0.3,407,440,2.2,1072,a
91,Luis Sinisterra Lucumí,Sinisterra,Bournemouth,5.0,0.0,0,3,0.0,0,u
92,Romain Faivre,Faivre,Bournemouth,4.5,0.1,0,30,0.0,0,u
93,Hamed Traorè,H.Traorè,Bournemouth,4.5,0.3,0,215,0.0,16,u
94,Dominic Sadi,Sadi,Bournemouth,4.5,0.0,0,20,0.0,0,u
95,Zain Silcott-Duberry,Silcott-Duberry,Bournemouth,4.4,0.1,0,60,0.0,0,u
96,Ben Winterburn,Winterburn,Bournemouth,4.5,0.0,0,19,0.0,6,u
97,Francisco Evanilson de Lima Barbosa,Evanilson,Bournemouth,7.0,2.0,2665,7457,3.5,1144,a
98,Enes Ünal,Enes Ünal,Bournemouth,5.4,0.0,159,180,1.5,61,a
99,Daniel Adu-Adjei,Adu-Adjei,Bournemouth,4.4,0.2,0,120,0.0,0,u
100,Junior Kroupi,Kroupi.Jr,Bournemouth,4.6,4.3,12093,10739,1.8,444,a
391,Ben Gannon-Doak,Gannon-Doak,Bournemouth,4.8,0.0,1,22,0.0,53,i
685,Bafodé Diakité,Diakité,Bournemouth,4.4,0.4,255,474,2.2,1215,a
687,Remy Rees-Dottin,Rees-Dottin,Bournemouth,4.4,0.1,40,77,0.0,0,a
697,Amine Adli,Adli,Bournemouth,5.4,0.0,58,101,1.8,385,a
713,Álex Jiménez Sánchez,A.Jimenez,Bournemouth,4.5,0.1,215,188,2.7,797,a
721,Veljko Milosavljevic,Milosavljević,Bournemouth,4.5,0.0,2,60,0.7,365,i
756,Malcom DaCosta,DaCosta,Bournemouth,4.5,0.0,59,20,0.0,0,a
27,Reiss Nelson,Nelson,Brentford,4.8,0.1,13,80,0.2,31,d
83,Dango Ouattara,O.Dango,Brentford,6.0,0.8,31,8334,4.2,1061,n
101,Caoimhín Kelleher,Kelleher,Brentford,4.5,8.2,7458,3007,4.0,1530,a
102,Ellery Balcombe,Balcombe,Brentford,4.0,0.3,46,115,0.0,0,a
103,Matthew Cox,Cox,Brentford,3.9,0.2,592,107,0.0,0,a
104,Julian Eyestone,Eyestone,Brentford,3.9,0.1,81,106,0.0,0,a
105,Hákon Rafn Valdimarsson,Valdimarsson,Brentford,3.9,0.7,181,324,0.0,0,a
106,Nathan Collins,Collins,Brentford,4.9,1.6,1378,1793,3.5,1456,a
107,Keane Lewis-Potter,Lewis-Potter,Brentford,4.8,0.6,26920,379,5.0,640,a
108,Kristoffer Ajer,Ajer,Brentford,4.4,0.2,101,217,0.8,611,a
109,Rico Henry,Henry,Brentford,4.3,0.1,287,66,2.2,442,a
110,Michael Kayode,Kayode,Brentford,4.5,0.7,845,764,2.3,1477,a
111,Ethan Pinnock,Pinnock,Brentford,4.2,0.1,129,174,0.7,228,a
112,Mads Roerslev Rasmussen,Roerslev,Brentford,4.5,0.0,0,4,0.0,0,u
113,Sepp van den Berg,Van den Berg,Brentford,4.5,1.3,1723,1157,3.0,1530,a
114,Benjamin Arthur,Arthur,Brentford,3.9,0.2,70,105,0.0,0,a
115,Benjamin Fredrick,Fredrick,Brentford,4.0,0.1,0,32,0.0,0,u
116,Aaron Hickey,Hickey,Brentford,4.0,0.5,978,850,2.7,410,a
117,Kim Ji-soo,Ji-soo,Brentford,3.9,0.1,0,46,0.0,0,u
118,Jayden Meghoma,Meghoma,Brentford,4.0,0.0,0,20,0.0,0,u
120,Kevin Schade,Schade,Brentford,7.0,0.8,1319,2313,1.7,1323,a
121,Mikkel Damsgaard,Damsgaard,Brentford,5.8,0.6,757,1150,2.3,1028,a
122,Antoni Milambo,Milambo,Brentford,5.2,0.0,7,11,0.0,45,i
123,Fábio Freitas Gouveia Carvalho,Carvalho,Brentford,4.7,0.1,8,146,0.0,100,i
124,Jordan Henderson,Henderson,Brentford,5.0,0.5,1100,1639,4.0,1218,a
125,Vitaly Janelt,Janelt,Brentford,4.9,0.0,382,34,2.5,398,a
126,Mathias Jensen,Jensen,Brentford,4.9,0.1,146,105,2.0,540,a
127,Gustavo Nunes Fernandes Gomes,Nunes,Brentford,4.9,0.0,40,21,0.0,0,a
128,Frank Onyeka,Onyeka,Brentford,4.8,0.0,0,68,0.0,88,n
129,Yehor Yarmoliuk,Yarmoliuk,Brentford,5.0,0.1,147,50,1.8,1217,a
130,Romelle Donovan,Donovan,Brentford,4.4,0.1,138,84,0.0,0,a
131,Yunus Emre Konak,Konak,Brentford,4.3,0.2,406,277,0.0,0,a
132,Paris Maghoma,Maghoma,Brentford,4.5,0.0,97,45,0.0,0,a
133,Myles Peart-Harris,Peart-Harris,Brentford,4.4,0.0,47,24,0.0,0,a
134,Ryan Trevitt,Trevitt,Brentford,4.5,0.0,0,2,0.0,0,u
136,Igor Thiago Nascimento Rodrigues,Thiago,Brentford,7.1,34.9,10915,289883,4.0,1401,a
137,Iwan Morgan,Morgan,Brentford,4.4,0.4,436,478,0.0,0,a
748,Josh Dasilva,Dasilva,Brentford,4.9,0.0,2,3,0.0,0,i
138,Jason Steele,Steele,Brighton,4.2,0.3,47,128,0.0,0,a
139,Bart Verbruggen,Verbruggen,Brighton,4.4,5.3,7500,2591,5.0,1530,a
140,Tom McGill,McGill,Brighton,3.9,0.3,188,119,0.0,0,a
141,Carl Rushworth,Rushworth,Brighton,4.0,0.0,0,1,0.0,0,u
142,Kjell Scherpen,Scherpen,Brighton,4.0,0.0,0,0,0.0,0,u
143,Olivier Boscagli,Boscagli,Brighton,4.2,0.1,109,43,1.3,142,a
144,Diego Coppola,Coppola,Brighton,4.2,0.1,98,23,1.2,107,a
145,Maxim De Cuyper,De Cuyper,Brighton,4.3,2.2,8081,1555,5.0,763,a
146,Lewis Dunk,Dunk,Brighton,4.5,0.9,258,1875,1.3,1395,a
147,Pervis Estupiñán Tenorio,Estupiñan,Brighton,4.5,0.0,0,1,0.0,0,u
148,Ferdi Kadıoğlu,F.Kadıoğlu,Brighton,4.4,0.2,648,300,3.0,1242,a
150,Tariq Lamptey,Lamptey,Brighton,4.4,0.1,0,52,0.0,0,u
151,Jan Paul van Hecke,Van Hecke,Brighton,4.6,4.4,4911,11974,4.3,1440,a
