player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,snapshot_date,net_transfers_delta,price_change,velocity,trend_score
1,David Raya Martín,Raya,Arsenal,6.0,35.7,9548,28092,3.5,1710,a,2026-01-01,0,0.0,0.0,0.0
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,85,147,0.0,0,a,2026-01-01,0,0.0,0.0,0.0
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,39,0.0,0,u,2026-01-01,0,0.0,0.0,0.0
4,Tommy Setford,Setford,Arsenal,3.9,0.3,282,235,0.0,0,a,2026-01-01,0,0.0,0.0,0.0
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.4,17.0,279078,2511,2.7,1085,a,2026-01-01,0,0.0,0.0,0.0
6,William Saliba,Saliba,Arsenal,5.9,11.7,11789,11226,2.0,1174,a,2026-01-01,0,0.0,0.0,0.0
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,9.1,633,32512,2.3,1256,d,2026-01-01,0,0.0,0.0,0.0
8,Jurriën Timber,J.Timber,Arsenal,6.4,28.4,24986,54719,3.5,1459,a,2026-01-01,0,0.0,0.0,0.0
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,2,0.0,0,u,2026-01-01,0,0.0,0.0,0.0
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.6,325,1265,0.7,278,a,2026-01-01,0,0.0,0.0,0.0
11,Benjamin White,White,Arsenal,5.1,0.6,148,1634,2.8,287,a,2026-01-01,0,0.0,0.0,0.0
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,221,345,0.0,0,a,2026-01-01,0,0.0,0.0,0.0
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,23,0.0,0,u,2026-01-01,0,0.0,0.0,0.0
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,44,90,0.0,0,a,2026-01-01,0,0.0,0.0,0.0
16,Bukayo Saka,Saka,Arsenal,10.3,21.4,20671,18825,6.2,1320,a,2026-01-01,0,0.0,0.0,0.0
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.9,15188,1457,4.0,714,a,2026-01-01,0,0.0,0.0,0.0
18,Noni Madueke,Madueke,Arsenal,6.8,0.7,268,899,0.8,427,a,2026-01-01,0,0.0,0.0,0.0
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,534,708,1.0,408,a,2026-01-01,0,0.0,0.0,0.0
20,Leandro Trossard,Trossard,Arsenal,6.9,1.2,29542,2244,4.2,1042,a,2026-01-01,0,0.0,0.0,0.0
21,Declan Rice,Rice,Arsenal,7.2,24.1,6674,132110,4.5,1515,d,2026-01-01,0,0.0,0.0,0.0
22,Mikel Merino Zazón,Merino,Arsenal,5.8,2.7,1810,9424,3.3,921,a,2026-01-01,0,0.0,0.0,0.0
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,0,0.0,0,u,2026-01-01,0,0.0,0.0,0.0
24,Christian Nørgaard,Nørgaard,Arsenal,5.1,0.1,38,53,0.2,31,a,2026-01-01,0,0.0,0.0,0.0
25,Ethan Nwaneri,Nwaneri,Arsenal,5.0,0.1,32,63,0.0,165,a,2026-01-01,0,0.0,0.0,0.0
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,4709,1257,3.2,1590,a,2026-01-01,0,0.0,0.0,0.0
