player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,snapshot_date,net_transfers_delta,price_change,velocity,trend_score
1,David Raya Martín,Raya,Arsenal,6.0,35.7,9670,28360,3.5,1710,a,2026-01-01,-49,0.0,-49.0,-49.0
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,86,148,0.0,0,a,2026-01-01,1,0.0,-24.0,-36.5
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,40,0.0,0,u,2026-01-01,0,0.0,-16.0,-29.666666666666668
4,Tommy Setford,Setford,Arsenal,3.9,0.3,283,240,0.0,0,a,2026-01-01,0,0.0,0.3333333333333333,-22.166666666666668
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.4,17.0,281125,2540,2.7,1085,a,2026-01-01,772,0.0,257.3333333333333,33.73333333333333
6,William Saliba,Saliba,Arsenal,5.9,11.7,11929,11313,2.0,1174,a,2026-01-01,16,0.0,262.6666666666667,96.06666666666666
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,9.1,640,32834,2.3,1256,d,2026-01-01,-109,0.0,226.33333333333331,146.13333333333333
8,Jurriën Timber,J.Timber,Arsenal,6.4,28.4,25327,54942,3.5,1459,a,2026-01-01,32,0.0,-20.33333333333333,145.26666666666665
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,2,0.0,0,u,2026-01-01,0,0.0,-25.666666666666668,140.06666666666666
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.6,326,1279,0.7,278,a,2026-01-01,-3,0.0,9.666666666666666,90.53333333333333
11,Benjamin White,White,Arsenal,5.1,0.6,155,1644,2.8,287,a,2026-01-01,0,0.0,-1.0,37.8
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,223,348,0.0,0,a,2026-01-01,2,0.0,-0.3333333333333333,-7.533333333333333
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,23,0.0,0,u,2026-01-01,0,0.0,0.6666666666666666,-3.3333333333333335
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,44,91,0.0,0,a,2026-01-01,0,0.0,0.6666666666666666,1.9333333333333331
16,Bukayo Saka,Saka,Arsenal,10.3,21.4,20995,19015,6.2,1320,a,2026-01-01,70,0.0,23.33333333333333,4.666666666666666
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.9,15388,1478,4.0,714,a,2026-01-01,64,0.0,44.66666666666666,13.799999999999997
18,Noni Madueke,Madueke,Arsenal,6.8,0.7,271,907,0.8,427,a,2026-01-01,-2,0.0,44.0,22.666666666666664
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,541,716,1.0,408,a,2026-01-01,-1,0.0,20.33333333333333,26.6
20,Leandro Trossard,Trossard,Arsenal,6.9,1.2,29947,2288,4.2,1042,a,2026-01-01,145,0.0,47.333333333333336,35.93333333333333
21,Declan Rice,Rice,Arsenal,7.2,24.1,6747,133498,4.5,1515,d,2026-01-01,-498,0.0,-118.0,7.6666666666666625
22,Mikel Merino Zazón,Merino,Arsenal,5.8,2.7,1836,9539,3.3,921,a,2026-01-01,-35,0.0,-129.33333333333334,-27.133333333333336
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,0,0.0,0,u,2026-01-01,0,0.0,-177.66666666666666,-71.46666666666667
24,Christian Nørgaard,Nørgaard,Arsenal,5.1,0.1,39,54,0.2,31,a,2026-01-01,1,0.0,-11.333333333333334,-77.8
25,Ethan Nwaneri,Nwaneri,Arsenal,5.0,0.1,32,63,0.0,165,a,2026-01-01,0,0.0,0.3333333333333333,-87.20000000000002
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,4778,1270,3.2,1590,a,2026-01-01,25,0.0,8.666666666666666,-61.86666666666666
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,21,0.0,0,u,2026-01-01,0,0.0,8.333333333333334,-34.33333333333333
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,10,0.0,0,u,2026-01-01,0,0.0,8.333333333333334,2.8666666666666667
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,185,55,0.0,30,a,2026-01-01,1,0.0,0.3333333333333333,5.2
