player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status
1,David Raya Martín,Raya,Arsenal,6.0,36.3,34241,39987,4.0,1530,a
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,392,718,0.0,0,a
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,363,0.0,0,u
4,Tommy Setford,Setford,Arsenal,3.9,0.3,1582,788,0.0,0,a
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.2,12.5,2282,55621,0.0,990,d
6,William Saliba,Saliba,Arsenal,5.9,11.3,47832,9180,1.6,994,a
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,10.3,45172,13513,2.8,1256,a
8,Jurriën Timber,J.Timber,Arsenal,6.5,33.6,98956,42898,2.8,1377,a
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,26,0.0,0,u
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.7,1924,9677,0.4,195,a
11,Benjamin White,White,Arsenal,5.2,1.1,52,44305,3.2,280,i
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,2090,1510,0.0,0,a
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,135,0.0,0,u
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,376,407,0.0,0,a
16,Bukayo Saka,Saka,Arsenal,10.3,22.2,67338,137428,5.8,1148,a
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.6,5945,5111,2.0,534,a
18,Noni Madueke,Madueke,Arsenal,6.8,0.8,2220,7056,1.0,420,a
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,1792,5206,1.2,400,d
20,Leandro Trossard,Trossard,Arsenal,6.9,0.9,14671,6141,2.0,871,a
21,Declan Rice,Rice,Arsenal,7.2,24.9,304367,25368,5.2,1425,a
22,Mikel Merino Zazón,Merino,Arsenal,5.9,3.3,16155,69878,5.0,759,a
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,8,0.0,0,u
24,Christian Nørgaard,Nørgaard,Arsenal,5.2,0.1,183,294,0.0,14,a
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,189,325,0.0,165,a
