player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,snapshot_date,net_transfers_delta,price_change,velocity,trend_score
1,David Raya Martín,Raya,Arsenal,6.0,35.5,19511,54541,3.7,1620,a,2025-12-30,-774,0.0,-774.0,-774.0
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,244,490,0.0,0,a,2025-12-30,-3,0.0,-388.5,-581.25
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,201,0.0,0,u,2025-12-30,-2,0.0,-259.6666666666667,-474.0555555555556
4,Tommy Setford,Setford,Arsenal,3.9,0.3,1055,592,0.0,0,a,2025-12-30,11,0.0,2.0,-355.0416666666667
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.3,14.1,197416,11335,0.2,1009,a,2025-12-30,4291,0.0999999999999996,1433.3333333333333,2.633333333333303
6,William Saliba,Saliba,Arsenal,5.9,11.6,38977,15054,1.7,1084,a,2025-12-30,155,0.0,1485.6666666666667,454.5666666666666
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,9.6,5448,84402,2.3,1256,d,2025-12-30,-1305,0.0,1047.0,741.6666666666666
8,Jurriën Timber,J.Timber,Arsenal,6.4,29.5,12410,420168,2.3,1377,d,2025-12-30,-7007,-0.0999999999999996,-2719.0,249.7999999999999
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,21,0.0,0,u,2025-12-30,0,0.0,-2770.6666666666665,-304.73333333333335
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.6,1633,5152,0.5,265,a,2025-12-30,-70,0.0,-2359.0,-1063.2
11,Benjamin White,White,Arsenal,5.1,0.7,26,20484,2.7,280,i,2025-12-30,0,0.0,-23.33333333333333,-1365.0
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,659,1093,0.0,0,a,2025-12-30,8,0.0,-20.666666666666668,-1578.5333333333333
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,73,0.0,0,u,2025-12-30,-1,0.0,2.333333333333333,-1034.2666666666669
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,134,283,0.0,0,a,2025-12-30,1,0.0,2.6666666666666665,-479.6000000000001
16,Bukayo Saka,Saka,Arsenal,10.3,21.3,44299,80699,6.0,1238,a,2025-12-30,-1011,0.0,-337.0,-75.20000000000009
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.8,14195,2701,3.3,624,a,2025-12-30,109,0.0,-300.3333333333333,-130.60000000000008
18,Noni Madueke,Madueke,Arsenal,6.8,0.7,819,4749,0.8,420,a,2025-12-30,-49,0.0,-317.0,-189.86666666666676
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,902,2635,1.2,408,a,2025-12-30,-20,0.0,13.333333333333334,-187.66666666666674
20,Leandro Trossard,Trossard,Arsenal,6.9,1.0,5643,9540,2.0,952,a,2025-12-30,-60,0.0,-43.0,-196.8000000000001
21,Declan Rice,Rice,Arsenal,7.2,26.2,114704,41736,5.2,1515,a,2025-12-30,658,0.0,192.66666666666663,-90.86666666666676
22,Mikel Merino Zazón,Merino,Arsenal,5.8,2.8,7031,42211,4.5,849,a,2025-12-30,-474,-0.1000000000000005,41.333333333333336,-22.533333333333427
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,4,0.0,0,u,2025-12-30,0,0.0,61.333333333333336,53.13333333333323
24,Christian Nørgaard,Nørgaard,Arsenal,5.1,0.1,143,179,0.0,14,a,2025-12-30,0,0.0,-158.0,18.866666666666568
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,89,199,0.0,165,a,2025-12-30,-3,0.0,-1.0,27.266666666666566
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,2615,8380,1.8,1500,a,2025-12-30,-69,0.0,-24.0,-16.06666666666676
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,60,0.0,0,u,2025-12-30,0,0.0,-24.0,-29.13333333333343
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,18,0.0,0,u,2025-12-30,0,0.0,-23.0,-46.00000000000009
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,89,122,0.0,30,d,2025-12-30,3,0.0,1.0,-14.200000000000092
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,1205,2500,0.5,53,a,2025-12-30,-23,0.0,-6.666666666666667,-15.333333333333425
266,Eberechi Eze,Eze,Arsenal,7.5,12.7,5599,180056,0.8,991,a,2025-12-30,-1952,0.0,-657.3333333333334,-142.00000000000009
662,Cristhian Mosquera,Mosquera,Arsenal,5.4,0.1,12,248,0.3,429,i,2025-12-30,0,0.0,-658.3333333333334,-268.8666666666668
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,9.9,3791,25232,1.8,1085,a,2025-12-30,-231,0.0,-727.6666666666666,-409.80000000000007
700,Max Dowman,Dowman,Arsenal,4.3,0.4,861,1943,0.0,27,i,2025-12-30,0,0.0,-77.0,-425.4000000000001
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,18,34,0.0,0,a,2025-12-30,0,0.0,-77.0,-439.4666666666668
725,Piero Hincapié,Hincapie,Arsenal,5.5,2.3,5682,31176,4.5,653,a,2025-12-30,-690,0.0,-230.0,-354.0000000000001
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,52,74,0.0,0,a,2025-12-30,0,0.0,-230.0,-268.33333333333337
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.0,3.1,8120,8105,2.7,1260,a,2025-12-30,-11,0.0,-233.66666666666663,-169.53333333333342
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,109,718,0.3,360,a,2025-12-30,-6,0.0,-5.666666666666667,-155.26666666666674
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,133,0.0,0,u,2025-12-30,-1,0.0,-6.0,-141.06666666666675
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,9,0.0,0,u,2025-12-30,0,0.0,-2.333333333333333,-95.53333333333342
36,Matty Cash,Cash,Aston Villa,4.9,10.6,8500,257883,3.7,1592,s,2025-12-30,0,0.0,-0.3333333333333333,-49.60000000000009
37,Lucas Digne,Digne,Aston Villa,4.5,1.6,3099,8437,1.8,1009,a,2025-12-30,-80,0.0,-26.666666666666668,-8.200000000000092
38,Ezri Konsa Ngoyo,Konsa,Aston Villa,4.4,7.4,10997,18272,3.0,1505,a,2025-12-30,-193,0.0,-91.0,-25.266666666666758
39,Ian Maatsen,Maatsen,Aston Villa,4.2,0.5,2224,1296,1.3,603,a,2025-12-30,1,0.0,-90.66666666666669,-42.200000000000095
40,Tyrone Mings,Mings,Aston Villa,4.3,0.6,35,775,0.0,497,d,2025-12-30,0,0.0,-64.0,-54.53333333333343
41,Pau Torres,Pau,Aston Villa,4.3,0.3,37,3684,1.7,952,d,2025-12-30,0,0.0,0.3333333333333333,-54.400000000000105
42,Andrés García,A.García,Aston Villa,3.9,0.2,247,502,0.0,0,a,2025-12-30,1,0.0,0.3333333333333333,-49.0000000000001
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,2482,0.0,0,u,2025-12-30,-40,0.0,-13.0,-33.4000000000001
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.5,782,1451,0.7,327,a,2025-12-30,-3,0.0,-14.0,-18.066666666666755
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,158,351,0.0,0,a,2025-12-30,0,0.0,-14.333333333333334,-8.133333333333425
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,93,0.0,0,u,2025-12-30,0,0.0,-1.0,-8.400000000000091
47,Morgan Rogers,Rogers,Aston Villa,7.4,22.8,235367,58874,7.0,1606,a,2025-12-30,850,0.0,283.3333333333333,48.19999999999991
