player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status
1,David Raya Martín,Raya,Arsenal,6.0,36.3,3011,3816,3.5,1581,a
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,33,66,0.0,0,a
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,22,0.0,0,u
4,Tommy Setford,Setford,Arsenal,3.9,0.3,137,73,0.0,0,a
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.2,12.3,3465,4674,0.0,990,d
6,William Saliba,Saliba,Arsenal,5.9,11.4,4211,1150,1.5,1045,a
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,10.4,2797,2605,2.3,1256,a
8,Jurriën Timber,J.Timber,Arsenal,6.5,33.7,6540,9496,2.3,1377,a
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,5,0.0,0,u
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.7,238,649,0.5,246,a
11,Benjamin White,White,Arsenal,5.2,0.9,3,2470,2.7,280,i
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,110,135,0.0,0,a
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,8,0.0,0,u
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,19,48,0.0,0,a
16,Bukayo Saka,Saka,Arsenal,10.3,21.9,6424,7644,5.5,1199,a
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.7,1269,378,2.7,585,a
18,Noni Madueke,Madueke,Arsenal,6.8,0.8,258,402,0.8,420,a
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,22,601,1.0,400,d
20,Leandro Trossard,Trossard,Arsenal,6.9,1.0,949,637,1.8,922,a
21,Declan Rice,Rice,Arsenal,7.2,25.9,14963,3727,4.5,1476,a
22,Mikel Merino Zazón,Merino,Arsenal,5.9,3.1,1246,4235,4.3,810,a
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,0,0.0,0,u
24,Christian Nørgaard,Nørgaard,Arsenal,5.2,0.1,24,32,0.0,14,a
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,19,31,0.0,165,a
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,442,853,1.7,1461,a
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,12,0.0,0,u
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,4,0.0,0,u
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,13,31,0.0,30,d
