player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,snapshot_date,net_transfers_delta,price_change,velocity,trend_score
1,David Raya Martín,Raya,Arsenal,6.0,35.7,9548,28092,3.5,1710,a,2026-01-01,-156,0.0,-156.0,-156.0
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,85,147,0.0,0,a,2026-01-01,-1,0.0,-78.5,-117.25
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,39,0.0,0,u,2026-01-01,-2,0.0,-53.0,-95.83333333333333
4,Tommy Setford,Setford,Arsenal,3.9,0.3,282,235,0.0,0,a,2026-01-01,-1,0.0,-1.3333333333333333,-72.20833333333333
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.4,17.0,279078,2511,2.7,1085,a,2026-01-01,2421,0.0,806.0,103.43333333333335
6,William Saliba,Saliba,Arsenal,5.9,11.7,11789,11226,2.0,1174,a,2026-01-01,49,0.0,823.0,299.23333333333335
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,9.1,633,32512,2.3,1256,d,2026-01-01,-343,0.0,709.0,456.7333333333334
8,Jurriën Timber,J.Timber,Arsenal,6.4,28.4,24986,54719,3.5,1459,a,2026-01-01,215,0.0,-26.33333333333333,462.0666666666667
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,2,0.0,0,u,2026-01-01,0,0.0,-42.66666666666666,453.80000000000007
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.6,325,1265,0.7,278,a,2026-01-01,-10,0.0,68.33333333333333,306.2666666666667
11,Benjamin White,White,Arsenal,5.1,0.6,148,1634,2.8,287,a,2026-01-01,0,0.0,-3.333333333333333,141.00000000000003
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,221,345,0.0,0,a,2026-01-01,1,0.0,-3.0,-1.3999999999999753
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,23,0.0,0,u,2026-01-01,0,0.0,0.3333333333333333,3.933333333333357
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,44,90,0.0,0,a,2026-01-01,0,0.0,0.3333333333333333,12.533333333333356
16,Bukayo Saka,Saka,Arsenal,10.3,21.4,20671,18825,6.2,1320,a,2026-01-01,156,0.0,52.0,9.26666666666669
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.9,15188,1457,4.0,714,a,2026-01-01,199,0.0,118.33333333333331,33.60000000000002
18,Noni Madueke,Madueke,Arsenal,6.8,0.7,268,899,0.8,427,a,2026-01-01,-8,0.0,115.66666666666669,57.33333333333336
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,534,708,1.0,408,a,2026-01-01,18,0.0,69.66666666666667,71.20000000000002
