player_id,web_name,first_name,second_name,team,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,form,minutes,status
1,Raya,David,Raya Martín,Arsenal,6.0,36.5,48501,64803,68,3.0,1440,a
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,4.1,0.4,500,886,0,0.0,0,a
3,Hein,Karl,Hein,Arsenal,4.0,0.2,0,437,0,0.0,0,u
4,Setford,Tommy,Setford,Arsenal,3.9,0.2,1875,700,0,0.0,0,a
5,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,6.2,13.1,2007,111453,81,0.0,990,d
6,Saliba,William,Saliba,Arsenal,5.9,10.8,61125,15002,43,0.8,904,a
7,Calafiori,Riccardo,Calafiori,Arsenal,5.7,9.9,42900,42334,71,2.0,1166,a
8,J.Timber,Jurriën,Timber,Arsenal,6.5,33.1,84892,114304,80,2.6,1287,a
9,Kiwior,Jakub,Kiwior,Arsenal,5.4,0.1,0,32,0,0.0,0,u
10,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,5.1,1.8,3061,13535,9,0.6,195,a
11,White,Benjamin,White,Arsenal,5.4,2.0,2325,77348,22,3.2,280,i
13,Clarke,Brayden,Clarke,Arsenal,3.8,0.5,2721,1345,0,0.0,0,a
14,Kacurri,Maldini,Kacurri,Arsenal,3.9,0.1,0,201,0,0.0,0,u
15,Nichols,Josh,Nichols,Arsenal,3.8,0.2,506,410,0,0.0,0,a
16,Saka,Bukayo,Saka,Arsenal,10.3,22.8,148708,57156,75,6.0,1058,a
17,Ødegaard,Martin,Ødegaard,Arsenal,7.8,1.6,5773,10589,20,1.4,447,a
18,Madueke,Noni,Madueke,Arsenal,6.8,0.8,6829,10344,16,1.2,420,a
19,Martinelli,Gabriel,Martinelli Silva,Arsenal,6.8,0.9,4142,5232,22,1.2,390,a
20,Trossard,Leandro,Trossard,Arsenal,6.9,0.8,14279,8826,59,3.8,792,a
21,Rice,Declan,Rice,Arsenal,7.1,22.2,142981,126504,86,4.2,1335,a
22,Merino,Mikel,Merino Zazón,Arsenal,6.1,4.0,33649,105572,52,5.8,757,a
23,Fábio Vieira,Fábio,Ferreira Vieira,Arsenal,5.4,0.0,0,10,0,0.0,0,u
24,Nørgaard,Christian,Nørgaard,Arsenal,5.2,0.1,224,353,2,0.0,14,a
25,Nwaneri,Ethan,Nwaneri,Arsenal,5.1,0.1,213,412,8,0.2,165,a
26,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,5.2,2.3,7999,17640,56,1.6,1320,a
28,Kabia,Ismeal,Kabia,Arsenal,4.5,0.1,0,158,0,0.0,0,u
29,Sambi,Albert,Sambi Lokonga,Arsenal,4.5,0.1,0,56,0,0.0,0,u
30,Havertz,Kai,Havertz,Arsenal,7.3,0.3,85,279,1,0.0,30,i
31,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,6.4,0.2,7706,2033,1,0.2,9,a
266,Eze,Eberechi,Eze,Arsenal,7.7,17.5,55551,305767,66,5.0,991,a
662,Mosquera,Cristhian,Mosquera,Arsenal,5.4,0.1,29,1295,17,0.6,429,i
666,Gyökeres,Viktor,Gyökeres,Arsenal,8.8,10.4,8308,63320,41,0.8,951,a
700,Dowman,Max,Dowman,Arsenal,4.3,0.4,1740,5534,5,0.0,27,i
711,Harriman-Annous,Andre,Harriman-Annous,Arsenal,4.5,0.0,59,57,0,0.0,0,a
725,Hincapie,Piero,Hincapié,Arsenal,5.5,2.9,20074,16764,20,3.6,473,a
759,Salmon,Marli,Salmon,Arsenal,4.0,0.0,140,61,0,0.0,0,a
32,Martinez,Emiliano,Martínez Romero,Aston Villa,5.1,3.3,2801,45280,54,2.8,1080,d
33,M.Bizot,Marco,Bizot,Aston Villa,4.2,0.4,840,945,9,0.4,360,a
34,Gauci,Joe,Gauci,Aston Villa,4.0,0.1,0,225,0,0.0,0,u
35,Marschall,Filip,Marschall,Aston Villa,4.0,0.0,0,22,0,0.0,0,u
36,Cash,Matty,Cash,Aston Villa,4.9,13.4,84831,72987,73,4.2,1412,a
37,Digne,Lucas,Digne,Aston Villa,4.5,1.8,5099,11817,52,2.0,987,a
38,Konsa,Ezri,Konsa Ngoyo,Aston Villa,4.4,7.7,15693,25269,47,2.8,1325,a
39,Maatsen,Ian,Maatsen,Aston Villa,4.2,0.5,2918,1459,11,1.0,447,a
40,Mings,Tyrone,Mings,Aston Villa,4.3,0.6,39,1883,24,0.0,497,i
41,Pau,Pau,Torres,Aston Villa,4.3,0.5,420,9553,39,2.8,952,i
42,A.García,Andrés,García,Aston Villa,3.9,0.2,524,577,0,0.0,0,a
43,Alex Moreno,Álex,Moreno Lopera,Aston Villa,4.0,1.9,0,5127,0,0.0,0,u
44,Bogarde,Lamare,Bogarde,Aston Villa,4.0,0.6,1832,2026,20,0.8,318,a
45,Sousa,Lino,da Cruz Sousa,Aston Villa,3.9,0.3,333,558,0,0.0,0,a
46,Yasin,Yasin,Özcan,Aston Villa,4.0,0.1,0,193,0,0.0,0,u
47,Rogers,Morgan,Rogers,Aston Villa,7.1,13.6,384337,31027,76,8.2,1426,a
48,Tielemans,Youri,Tielemans,Aston Villa,5.9,0.7,8111,2148,26,2.8,691,a
49,Bailey,Leon,Bailey,Aston Villa,5.5,0.1,0,71,0,0.0,0,u
50,Buendía,Emiliano,Buendía Stati,Aston Villa,5.3,0.5,4681,8992,49,2.0,555,a
51,Iling Jr,Samuel,Iling-Junior,Aston Villa,5.5,0.0,0,15,0,0.0,0,u
53,Malen,Donyell,Malen,Aston Villa,5.1,0.9,5190,10462,47,3.0,514,a
54,McGinn,John,McGinn,Aston Villa,5.4,0.7,5843,5355,45,3.0,1234,a
55,Barkley,Ross,Barkley,Aston Villa,4.8,0.0,21,248,15,1.0,114,i
56,Barrenechea,Enzo,Barrenechea,Aston Villa,5.0,0.0,0,1,0,0.0,0,u
57,Dobbin,Lewis,Dobbin,Aston Villa,5.0,0.0,0,12,0,0.0,0,u
58,Kamara,Boubacar,Kamara,Aston Villa,4.9,0.6,14252,5973,51,5.6,1070,a
59,Onana,Amadou,Onana,Aston Villa,4.8,0.8,6960,3891,40,3.2,727,a
60,Broggio,Ben,Broggio,Aston Villa,4.5,0.3,955,1006,0,0.0,0,a
61,Dendoncker,Leander,Dendoncker,Aston Villa,4.5,0.1,0,181,0,0.0,0,u
62,Jimoh-Aloba,Jamaldeen,Jimoh-Aloba,Aston Villa,4.5,0.1,224,201,0,0.0,0,a
63,Young,Kadan,Young,Aston Villa,4.3,0.6,5923,2362,0,0.0,0,a
64,Watkins,Ollie,Watkins,Aston Villa,8.5,7.6,26562,35843,50,4.6,1193,a
65,Redmond,Zépiqueno,Redmond,Aston Villa,4.5,0.3,0,449,0,0.0,0,u
389,Elliott,Harvey,Elliott,Aston Villa,5.2,0.2,349,724,4,0.0,97,a
456,Sancho,Jadon,Sancho,Aston Villa,5.8,0.2,140,1881,7,0.6,126,n
677,Guessand,Evann,Guessand,Aston Villa,6.2,0.0,436,285,22,1.6,505,a
688,Wright,James,Wright,Aston Villa,3.9,0.6,1834,1437,0,0.0,0,a
701,Rowe,Triston,Rowe,Aston Villa,4.0,0.1,0,129,0,0.0,0,u
702,Burrowes,Bradley,Burrowes,Aston Villa,4.4,0.1,165,193,1,0.0,16,a
703,Proctor,Sam,Proctor,Aston Villa,3.9,0.5,10114,1196,0,0.0,0,a
710,Patterson,Travis,Patterson,Aston Villa,3.9,0.2,202,674,0,0.0,0,a
719,Lindelöf,Victor,Lindelöf,Aston Villa,4.5,0.1,824,195,8,1.0,115,a
754,George Hemmings,George,Hemmings,Aston Villa,4.5,0.0,62,26,0,0.0,0,a
757,Hollingshead,Ronnie,Hollingshead,Aston Villa,4.0,0.0,119,49,0,0.0,0,a
183,Weiss,Max,Weiß,Burnley,4.3,0.1,222,255,0,0.0,0,a
184,Green,Etienne,Green,Burnley,4.0,0.2,0,460,0,0.0,0,u
185,Hladký,Václav,Hladký,Burnley,3.9,0.2,540,407,0,0.0,0,a
186,Roberts,Connor,Roberts,Burnley,4.4,0.0,23,49,0,0.0,0,i
187,Walker,Kyle,Walker,Burnley,4.4,1.2,1966,3805,34,1.0,1350,a
188,Delcroix,Hannes,Delcroix,Burnley,3.8,0.3,1446,842,0,0.0,0,a
189,Dodgson,Owen,Dodgson,Burnley,4.0,0.0,0,12,0,0.0,0,u
