player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,net_transfers_delta,price_change,velocity,trend_score
42,Andrés García,A.García,Aston Villa,3.9,0.2,82,175,0.0,0,a,-5,0.0,-24.666666666666668,-279.99999999999994
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,771,0.0,0,u,-30,0.0,-32.333333333333336,-9.799999999999955
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.5,223,425,0.7,327,a,-7,0.0,-14.0,-13.866666666666623
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,51,102,0.0,0,a,-1,0.0,-12.666666666666666,-19.933333333333287
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,34,0.0,0,u,-2,0.0,-3.333333333333333,-17.399999999999952
47,Morgan Rogers,Rogers,Aston Villa,7.4,22.5,105565,14751,7.0,1606,a,2179,0.0,725.3333333333334,132.60000000000005
48,Youri Tielemans,Tielemans,Aston Villa,5.9,0.8,1847,713,3.5,871,a,96,0.0,757.6666666666666,290.6
49,Leon Bailey,Bailey,Aston Villa,5.5,0.1,0,13,0.0,0,u,0,0.0,758.3333333333334,445.0666666666667
50,Emiliano Buendía Stati,Buendía,Aston Villa,5.3,0.4,476,1344,2.2,619,a,-35,0.0,20.33333333333333,451.6666666666667
51,Samuel Iling-Junior,Iling Jr,Aston Villa,5.5,0.0,0,2,0.0,0,u,0,0.0,-11.666666666666666,450.0000000000001
53,Donyell Malen,Malen,Aston Villa,5.1,0.8,502,1816,2.2,587,a,-48,0.0,-27.666666666666668,299.4
54,John McGinn,McGinn,Aston Villa,5.4,0.7,1308,1202,3.3,1375,a,-3,0.0,-17.0,144.46666666666673
55,Ross Barkley,Barkley,Aston Villa,4.8,0.0,4,33,0.2,114,i,-2,0.0,-17.666666666666668,-10.733333333333288
56,Enzo Barrenechea,Barrenechea,Aston Villa,5.0,0.0,0,0,0.0,0,u,0,0.0,-1.6666666666666667,-15.133333333333288
57,Lewis Dobbin,Dobbin,Aston Villa,5.0,0.0,0,4,0.0,0,u,0,0.0,-0.6666666666666666,-12.93333333333329
58,Boubacar Kamara,Kamara,Aston Villa,4.9,0.7,1410,2297,4.5,1239,s,-212,0.0,-70.66666666666667,-21.53333333333329
59,Amadou Onana,Onana,Aston Villa,4.8,0.8,1241,980,3.5,841,a,23,0.0,-63.0,-30.73333333333329
60,Ben Broggio,Broggio,Aston Villa,4.5,0.3,153,217,0.0,0,a,3,0.0,-62.0,-39.59999999999995
61,Leander Dendoncker,Dendoncker,Aston Villa,4.5,0.1,0,24,0.0,0,u,-5,0.0,7.0,-37.86666666666662
62,Jamaldeen Jimoh-Aloba,Jimoh-Aloba,Aston Villa,4.5,0.1,31,37,0.0,0,a,0,0.0,-0.6666666666666666,-37.866666666666625
63,Kadan Young,Young,Aston Villa,4.3,0.7,754,629,0.0,0,a,1,0.0,-1.3333333333333333,-23.999999999999954
64,Ollie Watkins,Watkins,Aston Villa,8.5,7.3,14087,5778,6.3,1299,a,636,0.0,212.33333333333331,31.06666666666671
65,Zépiqueno Redmond,Redmond,Aston Villa,4.5,0.3,0,82,0.0,0,u,-1,0.0,212.0,85.8666666666667
389,Harvey Elliott,Elliott,Aston Villa,5.2,0.2,9,198,0.0,97,d,-5,0.0,210.0,126.4666666666667
456,Jadon Sancho,Sancho,Aston Villa,5.8,0.2,194,116,0.5,157,a,7,0.0,0.3333333333333333,126.6666666666667
677,Evann Guessand,Guessand,Aston Villa,6.2,0.0,1,60,1.5,511,n,-2,0.0,0.0,126.93333333333337
688,James Wright,Wright,Aston Villa,3.9,0.6,257,308,0.0,0,a,-4,0.0,0.3333333333333333,84.53333333333339
701,Triston Rowe,Rowe,Aston Villa,4.0,0.1,0,17,0.0,0,u,-1,0.0,-2.333333333333333,41.666666666666714
702,Bradley Burrowes,Burrowes,Aston Villa,4.4,0.1,17,36,0.0,16,a,1,0.0,-1.3333333333333333,-0.5999999999999546
