player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,net_transfers_delta,price_change,velocity,trend_score
1,David Raya Martín,Raya,Arsenal,6.0,36.2,8189,16722,3.7,1620,a,-1212,0.0,-1212.0,-1212.0
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,105,200,0.0,0,a,-7,0.0,-609.5,-910.75
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,73,0.0,0,u,-5,0.0,-408.0,-743.1666666666666
4,Tommy Setford,Setford,Arsenal,3.9,0.3,413,223,0.0,0,a,19,0.0,2.333333333333333,-556.7916666666666
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.2,12.7,48759,7309,0.2,1009,a,8988,0.0,3000.6666666666665,154.7
6,William Saliba,Saliba,Arsenal,5.9,11.5,13606,4967,1.7,1084,a,1018,0.0,3341.6666666666665,1065.4333333333332
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,10.2,4378,23096,2.3,1256,d,-3765,0.0,2080.333333333333,1603.4
8,Jurriën Timber,J.Timber,Arsenal,6.5,32.8,9858,109154,2.3,1377,d,-19918,0.0,-7555.0,174.0
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,11,0.0,0,u,0,0.0,-7894.333333333333,-1405.3333333333333
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.7,654,1877,0.5,265,a,-132,0.0,-6683.333333333333,-3342.1333333333328
11,Benjamin White,White,Arsenal,5.2,0.9,8,7160,2.7,280,i,-695,0.0,-275.6666666666667,-4065.6
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,263,397,0.0,0,a,-26,0.0,-284.3333333333333,-4538.533333333333
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,29,0.0,0,u,-3,0.0,-241.33333333333331,-3075.7999999999997
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,51,116,0.0,0,a,-7,0.0,-12.0,-1499.333333333333
16,Bukayo Saka,Saka,Arsenal,10.3,21.8,18641,25977,6.0,1238,a,-933,0.0,-314.3333333333333,-225.53333333333313
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.7,5821,970,3.3,624,a,510,0.0,-143.33333333333334,-199.06666666666646
18,Noni Madueke,Madueke,Arsenal,6.8,0.7,477,1770,0.8,420,a,-185,0.0,-202.66666666666663,-182.73333333333315
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,251,1258,1.2,408,a,-41,0.0,94.66666666666669,-115.53333333333312
20,Leandro Trossard,Trossard,Arsenal,6.9,1.0,2297,3503,2.0,952,a,-176,0.0,-134.0,-139.9333333333331
21,Declan Rice,Rice,Arsenal,7.2,26.0,46013,13769,5.2,1515,a,2556,0.0,779.6666666666666,78.86666666666686
22,Mikel Merino Zazón,Merino,Arsenal,5.9,3.0,3101,15279,4.5,849,a,-1329,0.0,350.3333333333333,177.6000000000002
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,3,0.0,0,u,-1,0.0,408.6666666666667,299.86666666666684
24,Christian Nørgaard,Nørgaard,Arsenal,5.1,0.1,66,73,0.0,14,a,4,0.0,-442.0,192.53333333333353
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,45,86,0.0,165,a,-10,0.0,-2.333333333333333,218.86666666666687
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,1089,2949,1.8,1500,a,-251,0.0,-85.66666666666667,45.80000000000018
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,32,0.0,0,u,-6,0.0,-89.0,-42.06666666666648
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,11,0.0,0,u,0,0.0,-85.66666666666667,-140.93333333333314
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,39,61,0.0,30,d,-3,0.0,-3.0,-53.133333333333155
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,606,935,0.5,53,a,-36,0.0,-13.0,-55.266666666666495
266,Eberechi Eze,Eze,Arsenal,7.6,13.7,2992,70916,0.8,991,a,-6895,0.0,-2311.333333333333,-500.39999999999975
662,Cristhian Mosquera,Mosquera,Arsenal,5.4,0.1,5,123,0.3,429,i,-10,0.0,-2313.6666666666665,-945.333333333333
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,10.0,1728,9665,1.8,1085,a,-839,0.0,-2581.333333333333,-1444.4666666666662
700,Max Dowman,Dowman,Arsenal,4.3,0.4,333,847,0.0,27,i,-53,0.0,-300.6666666666667,-1503.9999999999995
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,8,14,0.0,0,a,2,0.0,-296.6666666666667,-1560.733333333333
725,Piero Hincapié,Hincapie,Arsenal,5.5,2.5,1559,10141,4.5,653,a,-750,0.0,-267.0,-1151.8666666666663
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,27,29,0.0,0,a,3,0.0,-248.33333333333331,-738.7999999999997
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.0,3.2,3244,2883,2.7,1260,a,14,0.0,-244.33333333333331,-271.3999999999998
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,48,265,0.3,360,a,-27,0.0,-3.333333333333333,-211.9333333333331
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,47,0.0,0,u,-8,0.0,-7.0,-153.99999999999983
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,5,0.0,0,u,0,0.0,-11.666666666666666,-102.93333333333314
36,Matty Cash,Cash,Aston Villa,4.9,12.5,7393,57690,3.7,1592,s,-13974,0.0,-4660.666666666667,-985.3999999999999
37,Lucas Digne,Digne,Aston Villa,4.5,1.7,921,2942,1.8,1009,a,-167,0.0,-4713.666666666667,-1879.2666666666664
38,Ezri Konsa Ngoyo,Konsa,Aston Villa,4.4,7.5,3367,6035,3.0,1505,a,-68,0.0,-4736.333333333333,-2825.8666666666663
39,Ian Maatsen,Maatsen,Aston Villa,4.2,0.5,774,461,1.3,603,a,39,0.0,-65.33333333333333,-2837.5333333333333
40,Tyrone Mings,Mings,Aston Villa,4.3,0.6,16,340,0.0,497,i,-34,0.0,-21.0,-2839.4
41,Pau Torres,Pau,Aston Villa,4.3,0.4,18,1643,1.7,952,i,-140,0.0,-45.0,-1916.2666666666664
42,Andrés García,A.García,Aston Villa,3.9,0.2,95,195,0.0,0,a,-7,0.0,-60.333333333333336,-985.5999999999998
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,861,0.0,0,u,-90,0.0,-79.0,-54.13333333333314
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.5,262,476,0.7,327,a,-12,0.0,-36.333333333333336,-48.33333333333316
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,56,117,0.0,0,a,-10,0.0,-37.333333333333336,-51.59999999999982
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,42,0.0,0,u,-8,0.0,-10.0,-44.59999999999982
47,Morgan Rogers,Rogers,Aston Villa,7.4,22.5,114815,16989,7.0,1606,a,7012,0.0,2331.333333333333,433.73333333333346
48,Youri Tielemans,Tielemans,Aston Villa,5.9,0.8,2172,794,3.5,871,a,244,0.0,2416.0,932.7333333333336
49,Leon Bailey,Bailey,Aston Villa,5.5,0.1,0,14,0.0,0,u,-1,0.0,2418.333333333333,1423.6666666666667
50,Emiliano Buendía Stati,Buendía,Aston Villa,5.3,0.4,544,1509,2.2,619,a,-97,0.0,48.66666666666666,1440.8666666666668
51,Samuel Iling-Junior,Iling Jr,Aston Villa,5.5,0.0,0,2,0.0,0,u,0,0.0,-32.666666666666664,1436.3333333333335
53,Donyell Malen,Malen,Aston Villa,5.1,0.8,570,2053,2.2,587,a,-169,0.0,-88.66666666666667,952.3333333333336
54,John McGinn,McGinn,Aston Villa,5.4,0.7,1452,1379,3.3,1375,a,-33,0.0,-67.33333333333333,455.6666666666668
55,Ross Barkley,Barkley,Aston Villa,4.8,0.0,4,36,0.2,114,i,-3,0.0,-68.33333333333333,-41.66666666666649
56,Enzo Barrenechea,Barrenechea,Aston Villa,5.0,0.0,0,0,0.0,0,u,0,0.0,-12.0,-53.79999999999982
57,Lewis Dobbin,Dobbin,Aston Villa,5.0,0.0,0,4,0.0,0,u,0,0.0,-1.0,-47.466666666666484
58,Boubacar Kamara,Kamara,Aston Villa,4.9,0.6,1420,2981,4.5,1239,s,-674,0.0,-224.66666666666663,-74.66666666666647
59,Amadou Onana,Onana,Aston Villa,4.8,0.8,1398,1108,3.5,841,a,29,0.0,-215.0,-104.19999999999982
60,Ben Broggio,Broggio,Aston Villa,4.5,0.3,171,239,0.0,0,a,-4,0.0,-216.33333333333331,-133.79999999999978
61,Leander Dendoncker,Dendoncker,Aston Villa,4.5,0.1,0,29,0.0,0,u,-5,0.0,6.666666666666667,-130.06666666666646
62,Jamaldeen Jimoh-Aloba,Jimoh-Aloba,Aston Villa,4.5,0.1,34,38,0.0,0,a,2,0.0,-2.333333333333333,-130.33333333333314
63,Kadan Young,Young,Aston Villa,4.3,0.7,838,704,0.0,0,a,9,0.0,2.0,-84.9999999999998
64,Ollie Watkins,Watkins,Aston Villa,8.5,7.3,16277,6155,6.3,1299,a,1813,0.0,608.0,79.60000000000018
65,Zépiqueno Redmond,Redmond,Aston Villa,4.5,0.3,0,88,0.0,0,u,-6,0.0,605.3333333333334,243.93333333333348
389,Harvey Elliott,Elliott,Aston Villa,5.2,0.2,11,217,0.0,97,d,-17,0.0,596.6666666666666,361.9333333333335
456,Jadon Sancho,Sancho,Aston Villa,5.8,0.2,223,132,0.5,157,a,13,0.0,-3.333333333333333,361.7333333333335
677,Evann Guessand,Guessand,Aston Villa,6.2,0.0,1,65,1.5,511,n,-5,0.0,-3.0,360.7333333333335
688,James Wright,Wright,Aston Villa,3.9,0.6,293,361,0.0,0,a,-17,0.0,-3.0,238.53333333333353
701,Triston Rowe,Rowe,Aston Villa,4.0,0.1,0,23,0.0,0,u,-6,0.0,-9.333333333333334,115.60000000000018
702,Bradley Burrowes,Burrowes,Aston Villa,4.4,0.1,20,40,0.0,16,a,-1,0.0,-8.0,-5.333333333333152
703,Sam Proctor,Proctor,Aston Villa,3.9,0.6,1583,666,0.0,0,a,83,0.0,25.33333333333333,0.4000000000001805
710,Travis Patterson,Patterson,Aston Villa,3.9,0.2,27,175,0.0,0,a,-17,0.0,21.666666666666668,5.333333333333514
719,Victor Lindelöf,Lindelöf,Aston Villa,4.5,0.1,262,77,1.5,295,a,23,0.0,29.666666666666668,11.866666666666848
754,George Hemmings,George Hemmings,Aston Villa,4.5,0.0,10,9,0.0,0,a,0,0.0,2.0,14.133333333333514
757,Ronnie Hollingshead,Hollingshead,Aston Villa,4.0,0.0,19,13,0.0,0,a,3,0.0,8.666666666666666,17.466666666666846
768,Leon Routh,Leon Routh,Aston Villa,4.0,0.0,15,14,0.0,0,a,0,0.0,1.0,12.600000000000183
183,Max Weiß,Weiss,Burnley,4.3,0.1,50,68,0.0,0,a,-1,0.0,0.6666666666666666,8.400000000000182
184,Etienne Green,Green,Burnley,4.0,0.2,0,70,0.0,0,u,-7,0.0,-2.6666666666666665,1.9333333333335152
185,Václav Hladký,Hladký,Burnley,3.9,0.2,61,150,0.0,0,a,-21,0.0,-9.666666666666666,-0.3999999999998181
186,Connor Roberts,Roberts,Burnley,4.4,0.0,4,7,0.0,0,i,-1,0.0,-9.666666666666666,-4.066666666666484
187,Kyle Walker,Walker,Burnley,4.4,1.2,693,533,2.2,1516,a,84,0.0,20.666666666666668,-0.13333333333315095
188,Hannes Delcroix,Delcroix,Burnley,3.8,0.3,114,333,0.0,0,a,-22,0.0,20.33333333333333,3.800000000000181
189,Owen Dodgson,Dodgson,Burnley,4.0,0.0,0,5,0.0,0,u,-1,0.0,20.33333333333333,8.40000000000018
190,Hjalmar Ekdal,Ekdal,Burnley,3.9,0.9,1170,468,3.2,983,a,155,0.0,44.0,19.133333333333514
191,Maxime Estève,Estève,Burnley,3.9,10.5,796,21274,1.8,1432,d,-2173,0.0,-673.0,-113.53333333333315
192,Quilindschy Hartman,Hartman,Burnley,4.0,0.9,451,2247,1.5,1337,a,-228,0.0,-748.6666666666666,-267.3999999999998
193,Bashir Humphreys,Humphreys,Burnley,3.9,0.1,47,18,1.0,92,a,6,0.0,-798.3333333333334,-431.1333333333332
194,Jordan Beyer,Jordan,Burnley,3.9,0.1,6,23,0.0,0,i,-3,0.0,-75.0,-450.1999999999998
