player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status
1,David Raya Martín,Raya,Arsenal,6.0,36.1,43080,50944,4.0,1530,a
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,478,902,0.0,0,a
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,449,0.0,0,u
4,Tommy Setford,Setford,Arsenal,3.9,0.3,2003,978,0.0,0,a
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.2,12.4,2542,64766,0.0,990,d
6,William Saliba,Saliba,Arsenal,5.9,11.5,63343,11553,1.6,994,a
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,10.5,61652,16847,2.8,1256,a
8,Jurriën Timber,J.Timber,Arsenal,6.5,33.7,125678,54025,2.8,1377,a
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,27,0.0,0,u
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.7,2413,12468,0.4,195,a
11,Benjamin White,White,Arsenal,5.2,1.0,57,56785,3.2,280,i
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,2574,1832,0.0,0,a
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,163,0.0,0,u
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,470,507,0.0,0,a
16,Bukayo Saka,Saka,Arsenal,10.3,22.0,89625,172507,5.8,1148,a
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.6,7671,6475,2.0,534,a
18,Noni Madueke,Madueke,Arsenal,6.8,0.8,2730,8985,1.0,420,a
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,1860,7244,1.2,400,d
20,Leandro Trossard,Trossard,Arsenal,6.9,1.0,21135,7473,2.0,871,a
21,Declan Rice,Rice,Arsenal,7.2,25.7,390293,30451,5.2,1425,a
22,Mikel Merino Zazón,Merino,Arsenal,5.9,3.1,20245,86133,5.0,759,a
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,8,0.0,0,u
24,Christian Nørgaard,Nørgaard,Arsenal,5.2,0.1,215,355,0.0,14,a
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,224,377,0.0,165,a
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,8796,11922,1.8,1410,a
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,115,0.0,0,u
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,58,0.0,0,u
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,97,244,0.0,30,i
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,3325,4391,0.4,34,a
266,Eberechi Eze,Eze,Arsenal,7.6,14.4,24843,282405,1.0,991,a
662,Cristhian Mosquera,Mosquera,Arsenal,5.4,0.1,12,732,0.4,429,i
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,10.2,15522,35957,1.8,1015,a
700,Max Dowman,Dowman,Arsenal,4.3,0.4,1920,4028,0.0,27,i
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,61,53,0.0,0,a
725,Piero Hincapié,Hincapie,Arsenal,5.5,2.7,22934,35309,5.2,563,d
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,94,96,0.0,0,a
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.0,3.1,9301,17748,2.8,1170,a
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,435,1134,0.4,360,a
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,238,0.0,0,u
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,15,0.0,0,u
36,Matty Cash,Cash,Aston Villa,4.9,12.7,49284,85078,4.2,1502,a
37,Lucas Digne,Digne,Aston Villa,4.5,1.7,3944,12268,2.0,1002,a
38,Ezri Konsa Ngoyo,Konsa,Aston Villa,4.4,7.5,14484,28315,2.8,1415,a
39,Ian Maatsen,Maatsen,Aston Villa,4.2,0.5,3420,1651,1.2,521,a
40,Tyrone Mings,Mings,Aston Villa,4.3,0.6,47,1523,0.0,497,i
41,Pau Torres,Pau,Aston Villa,4.3,0.4,99,6885,2.0,952,i
42,Andrés García,A.García,Aston Villa,3.9,0.2,498,696,0.0,0,a
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,5038,0.0,0,u
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.6,1537,2344,0.6,320,a
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,299,620,0.0,0,a
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,218,0.0,0,u
47,Morgan Rogers,Rogers,Aston Villa,7.3,21.3,859035,31592,8.2,1516,a
48,Youri Tielemans,Tielemans,Aston Villa,5.9,0.7,6492,3755,2.8,781,a
49,Leon Bailey,Bailey,Aston Villa,5.5,0.1,0,60,0.0,0,u
50,Emiliano Buendía Stati,Buendía,Aston Villa,5.3,0.4,2809,7949,2.0,561,a
51,Samuel Iling-Junior,Iling Jr,Aston Villa,5.5,0.0,0,18,0.0,0,u
53,Donyell Malen,Malen,Aston Villa,5.1,0.8,3655,9526,2.4,529,a
54,John McGinn,McGinn,Aston Villa,5.4,0.7,9415,4462,3.8,1317,a
55,Ross Barkley,Barkley,Aston Villa,4.8,0.0,15,187,0.2,114,i
56,Enzo Barrenechea,Barrenechea,Aston Villa,5.0,0.0,0,0,0.0,0,u
57,Lewis Dobbin,Dobbin,Aston Villa,5.0,0.0,0,19,0.0,0,u
58,Boubacar Kamara,Kamara,Aston Villa,4.9,0.7,12733,7019,5.2,1157,a
59,Amadou Onana,Onana,Aston Villa,4.8,0.8,7618,3915,4.0,810,a
60,Ben Broggio,Broggio,Aston Villa,4.5,0.3,1084,991,0.0,0,a
61,Leander Dendoncker,Dendoncker,Aston Villa,4.5,0.1,0,165,0.0,0,u
62,Jamaldeen Jimoh-Aloba,Jimoh-Aloba,Aston Villa,4.5,0.1,240,213,0.0,0,a
63,Kadan Young,Young,Aston Villa,4.3,0.7,5970,2803,0.0,0,a
64,Ollie Watkins,Watkins,Aston Villa,8.5,7.2,9966,57267,5.2,1267,a
65,Zépiqueno Redmond,Redmond,Aston Villa,4.5,0.3,0,521,0.0,0,u
389,Harvey Elliott,Elliott,Aston Villa,5.2,0.2,60,1012,0.0,97,d
