player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,snapshot_date,net_transfers_delta,price_change,velocity,trend_score
1,David Raya Martín,Raya,Arsenal,6.0,35.7,10567,30879,3.5,1710,a,2026-01-01,-1468,0.0,-1468.0,-1468.0
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,92,165,0.0,0,a,2026-01-01,-11,0.0,-739.5,-1103.75
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,44,0.0,0,u,2026-01-01,-4,0.0,-494.3333333333333,-900.6111111111112
4,Tommy Setford,Setford,Arsenal,3.9,0.3,314,262,0.0,0,a,2026-01-01,12,0.0,-1.0,-675.7083333333334
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.4,17.1,298021,2779,2.7,1085,a,2026-01-01,14781,0.0,4929.666666666667,445.3666666666667
6,William Saliba,Saliba,Arsenal,5.9,11.7,12924,12117,2.0,1174,a,2026-01-01,173,0.0,4988.666666666667,1736.7
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,9.0,690,35224,2.3,1256,d,2026-01-01,-2030,0.0,4308.0,2746.2
8,Jurriën Timber,J.Timber,Arsenal,6.4,28.4,28143,57299,3.5,1459,a,2026-01-01,379,0.0,-492.6666666666667,2746.5333333333338
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,3,0.0,0,u,2026-01-01,-1,0.0,-550.6666666666666,2636.6000000000004
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.6,362,1379,0.7,278,a,2026-01-01,-59,0.0,106.33333333333331,1671.9333333333336
11,Benjamin White,White,Arsenal,5.1,0.6,186,1784,2.8,287,a,2026-01-01,-91,0.0,-50.333333333333336,664.1333333333333
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,244,387,0.0,0,a,2026-01-01,-13,0.0,-54.333333333333336,-208.33333333333331
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,25,0.0,0,u,2026-01-01,-2,0.0,-35.333333333333336,-116.86666666666665
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,50,100,0.0,0,a,2026-01-01,-4,0.0,-6.333333333333333,-8.000000000000005
16,Bukayo Saka,Saka,Arsenal,10.3,21.4,23455,20676,6.2,1320,a,2026-01-01,747,0.0,247.0,20.133333333333333
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.9,16790,1679,4.0,714,a,2026-01-01,1046,0.0,596.3333333333334,149.46666666666667
18,Noni Madueke,Madueke,Arsenal,6.8,0.7,301,1021,0.8,427,a,2026-01-01,-81,0.0,570.6666666666666,274.4666666666667
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,605,780,1.0,408,a,2026-01-01,-5,0.0,320.0,345.5333333333333
20,Leandro Trossard,Trossard,Arsenal,6.9,1.3,32540,2595,4.2,1042,a,2026-01-01,1954,0.0,622.6666666666666,471.3333333333333
21,Declan Rice,Rice,Arsenal,7.2,24.0,7442,145227,4.5,1515,d,2026-01-01,-9747,0.0,-2599.333333333333,-97.93333333333331
22,Mikel Merino Zazón,Merino,Arsenal,5.8,2.7,2016,10354,3.3,921,a,2026-01-01,-559,0.0,-2784.0,-774.0
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,0,0.0,0,u,2026-01-01,0,0.0,-3435.333333333333,-1575.2
24,Christian Nørgaard,Nørgaard,Arsenal,5.1,0.1,53,57,0.2,31,a,2026-01-01,11,0.0,-182.66666666666663,-1675.7333333333331
25,Ethan Nwaneri,Nwaneri,Arsenal,5.0,0.1,39,70,0.0,165,a,2026-01-01,2,0.0,4.333333333333333,-1799.4
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,5245,1423,3.2,1590,a,2026-01-01,288,0.0,100.33333333333331,-1259.4666666666667
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,22,0.0,0,u,2026-01-01,0,0.0,96.66666666666669,-683.3333333333333
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,11,0.0,0,u,2026-01-01,-1,0.0,95.66666666666669,22.866666666666678
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,214,59,0.0,30,a,2026-01-01,22,0.0,7.0,60.8
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,3330,587,1.2,66,a,2026-01-01,202,0.0,74.33333333333333,74.8
266,Eberechi Eze,Eze,Arsenal,7.5,11.9,2314,42292,0.5,991,a,2026-01-01,-2749,0.0,-841.6666666666666,-113.6
662,Cristhian Mosquera,Mosquera,Arsenal,5.3,0.1,9,85,0.2,429,i,2026-01-01,0,0.0,-849.0,-302.7333333333333
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,9.8,1686,8197,2.2,1161,a,2026-01-01,-479,0.0,-1076.0,-537.0666666666666
700,Max Dowman,Dowman,Arsenal,4.3,0.3,315,645,0.0,27,i,2026-01-01,0,0.0,-159.66666666666666,-570.4
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,13,8,0.0,0,a,2026-01-01,1,0.0,-159.33333333333334,-617.1333333333332
725,Piero Hincapié,Hincapie,Arsenal,5.4,2.2,2748,15038,4.7,743,a,2026-01-01,-553,0.0,-184.0,-485.6
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,21,25,0.0,0,a,2026-01-01,1,0.0,-183.66666666666663,-352.5333333333333
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.0,3.2,10433,3925,1.7,1350,a,2026-01-01,548,0.0,-1.3333333333333333,-137.59999999999997
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,47,160,0.3,360,a,2026-01-01,-8,0.0,180.33333333333331,-69.59999999999995
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,28,0.0,0,u,2026-01-01,-4,0.0,178.66666666666666,-1.9999999999999545
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,2,0.0,0,u,2026-01-01,0,0.0,-4.0,34.00000000000004
36,Matty Cash,Cash,Aston Villa,4.8,9.5,3609,48067,2.7,1592,s,2026-01-01,0,0.0,-1.3333333333333333,70.46666666666671
37,Lucas Digne,Digne,Aston Villa,4.5,1.6,3995,1768,0.7,1099,a,2026-01-01,201,0.0,67.0,84.13333333333337
38,Ezri Konsa Ngoyo,Konsa,Aston Villa,4.4,7.5,10787,4454,1.7,1595,a,2026-01-01,526,0.0,242.33333333333331,96.53333333333337
39,Ian Maatsen,Maatsen,Aston Villa,4.2,0.5,934,530,1.3,603,a,2026-01-01,50,0.0,259.0,112.60000000000005
40,Tyrone Mings,Mings,Aston Villa,4.3,0.6,13,223,0.0,497,d,2026-01-01,-23,0.0,184.33333333333331,150.2666666666667
41,Pau Torres,Pau,Aston Villa,4.3,0.3,18,737,0.7,952,d,2026-01-01,-54,0.0,-9.0,148.73333333333335
42,Andrés García,A.García,Aston Villa,3.9,0.2,124,143,0.0,29,a,2026-01-01,8,0.0,-23.0,130.73333333333335
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,494,0.0,0,u,2026-01-01,-46,0.0,-30.666666666666668,76.13333333333337
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.5,471,394,0.3,417,a,2026-01-01,3,0.0,-11.666666666666666,22.000000000000043
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,47,98,0.0,0,a,2026-01-01,-4,0.0,-15.666666666666666,-17.999999999999954
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,27,0.0,0,u,2026-01-01,0,0.0,-0.3333333333333333,-16.26666666666662
47,Morgan Rogers,Rogers,Aston Villa,7.4,24.9,136013,16670,6.7,1687,a,2026-01-01,9101,0.0,3032.333333333333,594.8
48,Youri Tielemans,Tielemans,Aston Villa,5.9,0.8,3643,895,3.3,952,a,2026-01-01,294,0.0,3131.6666666666665,1227.2666666666667
49,Leon Bailey,Bailey,Aston Villa,5.5,0.1,0,8,0.0,0,u,2026-01-01,-1,0.0,3131.333333333333,1855.8666666666663
50,Emiliano Buendía Stati,Buendía,Aston Villa,5.3,0.4,1012,998,2.3,679,a,2026-01-01,14,0.0,102.33333333333331,1879.4666666666665
51,Samuel Iling-Junior,Iling Jr,Aston Villa,5.5,0.0,0,1,0.0,0,u,2026-01-01,0,0.0,4.333333333333333,1880.4
53,Donyell Malen,Malen,Aston Villa,5.1,0.7,941,1092,2.3,616,a,2026-01-01,11,0.0,8.333333333333334,1275.6
54,John McGinn,McGinn,Aston Villa,5.4,0.7,1456,1092,2.0,1420,a,2026-01-01,37,0.0,16.0,652.4666666666667
55,Ross Barkley,Barkley,Aston Villa,4.8,0.0,12,21,0.0,114,i,2026-01-01,0,0.0,16.0,29.400000000000084
56,Enzo Barrenechea,Barrenechea,Aston Villa,5.0,0.0,0,0,0.0,0,u,2026-01-01,0,0.0,12.333333333333334,11.400000000000091
57,Lewis Dobbin,Dobbin,Aston Villa,5.0,0.0,0,1,0.0,0,u,2026-01-01,0,0.0,0.0,10.533333333333424
